name,title,activity_period,notable_deeds
李寿亭,鱼台县维持会会长、伪鱼台县知事,1938-1945,日军侵占鱼台后出面组织维持会，后任伪县知事，协助日军征粮、派夫、清乡，镇压当地抗日群众。
张荫南,伪鱼台县警备队队长,1939-1945,统率伪警备队配合日军扫荡鱼台及周边地区，捕杀抗日人员，勒索百姓。
王体端,伪济宁道尹公署道尹,1938-1945,任伪济宁道最高行政长官，推行日军殖民统治，督征粮款，镇压鲁西南抗日活动。
刘伯言,伪济宁县知事,1938-1945,在济宁县城组织伪政权，协助日军维持治安，迫害抗日家属，强征劳工。
马振东,伪济宁县警察局局长,1939-1945,率伪警察搜捕抗日人士，破坏中共地下组织，在济宁城乡推行保甲连坐。
朱经古,伪鲁西道尹公署道尹,1938-1940,管辖鲁西包括济宁部分地区，为日军筹粮筹款，诱降地方武装，镇压抗日力量。
唐仰杜,伪山东省省长,1938-1945,作为山东伪政权最高头目，推行日军政策，督令各道县征粮、清乡，配合日军扫荡鲁西南抗日根据地。
马良,伪山东省省长、伪济南维持会会长,1937-1939,组织济南维持会，后任伪省长，协助日军控制山东，包括济宁一带的伪政权建立。
杨毓珣,伪山东省省长,1945,抗战末期任伪省长，继续为日军服务，维持山东沦陷区统治。
潘子明,伪鱼台县保安团团长,1940-1945,率伪保安团配合日军进攻鱼台抗日根据地，烧杀抢掠，残害百姓。
李怀珍,伪金乡县知事,1938-1945,在金乡及邻近鱼台地区推行伪化统治，征粮派款，协助日军封锁抗日根据地。
张宪周,伪嘉祥县知事,1939-1945,在嘉祥及济宁西部为日军征粮、抓丁，组织伪自卫团对抗抗日武装。
王绍武,伪邹县知事,1938-1945,在邹县及济宁东部地区协助日军扫荡，破坏抗日组织，压榨民众。
陈以燊,伪滋阳县知事,1938-1945,在滋阳（今兖州）及济宁北部推行伪政，为日军提供物资，镇压抗日活动。
刘仙洲,伪滕县知事,1938-1945,在滕县及济宁南部边缘地区协助日军清乡，残害抗日军民。
丁其昌,伪峄县知事,1938-1945,在峄县及鲁南地区为日军效力，配合扫荡，镇压抗日力量。
王子枫,伪山东省警务厅厅长,1938-1945,统管山东伪警察，督令济宁等地伪警搜捕抗日人员，推行保甲制度。
成逸庵,伪山东省民政厅厅长,1938-1945,负责山东沦陷区民政，协助日军征粮、派夫，推行奴化教育。
郝书暄,伪山东省教育厅厅长,1938-1945,在山东包括济宁地区推行奴化教育，篡改教材，毒害青少年。
李泰华,伪鱼台县新民会会长,1940-1945,组织新民会进行亲日宣传，配合日军经济掠夺，监视民众思想。
