name,title,activity_period,notable_deeds
张宗援,伪山东自治联军总司令、伪军头目,1937-1945,原名张宗昌之弟或部属系统人物，抗战时期在山东沿海一带收编土匪、伪军，配合日军进攻胶东抗日根据地，活动范围涉及烟台、海阳周边地区。
赵保原,伪剿共军司令、国民党投降派兼伪军头目,1938-1945,盘踞胶东莱阳、海阳一带，后公开投敌，任伪剿共军司令，配合日军扫荡胶东抗日根据地，对海阳、烟台地区抗日力量造成重大破坏。
张步云,伪山东保安军头目、伪军师长,1938-1945,在山东胶东地区活动，投靠日军后率伪军配合扫荡，活动范围涉及烟台、海阳周边，残害抗日军民。
李先良,伪青岛特别市市长、伪政权官员,1938-1945,抗战时期在山东伪政权中任职，参与日伪统治，其活动范围覆盖山东东部，与烟台、海阳地区伪政权有联系。
唐仰杜,伪山东省省长,1938-1945,任伪山东省省长期间，推行日伪政令，支持胶东地区伪政权和伪军建设，对烟台、海阳等地抗日活动进行镇压。
马良,伪山东省省长、伪济南市长,1937-1945,抗战时期投敌，历任伪职，参与山东伪政权统治，其政令影响及于胶东烟台、海阳地区。
杨毓珣,伪山东省省长,1938-1945,在山东伪政权中任要职，协助日军推行治安强化运动，波及烟台、海阳等胶东地区。
王子枫,伪海阳县维持会会长,1938-1945,在海阳地区组织伪维持会，为日军筹粮、派夫、搜集情报，协助日伪维持地方统治。
赵子玉,伪海阳县伪警察所所长,1939-1945,在海阳地区担任伪警察头目，配合日军抓捕抗日人员，镇压当地民众抗日活动。
孙振东,伪烟台市维持会成员、伪商会头目,1938-1945,在烟台地区依附日军，参与伪维持会和商会活动，为日军经济掠夺和统治服务。
刘精一,伪胶东道尹,1938-1945,任伪胶东道尹期间，管辖烟台、海阳等胶东地区伪政，推行日伪政策，镇压抗日力量。
张化南,伪烟台市市长,1938-1945,在烟台伪政权中任职，协助日军管理烟台市区，参与经济统制和治安镇压。
陈命凡,伪烟台市商会会长,1938-1945,在烟台地区为日军筹款筹物，协助经济掠夺，属于经济领域附逆者。
王性初,伪海阳县教育会会长,1939-1945,在海阳地区推行奴化教育，宣传“大东亚共荣”，协助日伪进行文化侵略。
李树桂,伪海阳县保安团团长,1939-1945,率伪保安团配合日军扫荡海阳抗日根据地，抓捕抗日军民，破坏抗日组织。
张建勋,伪烟台警察局督察长,1938-1945,在烟台伪警察系统中任职，参与镇压抗日活动，迫害当地民众。
刘桂堂,伪军头目、土匪武装,1937-1943,率部在山东胶东一带活动，后投靠日军，配合扫荡，活动范围接近烟台、海阳地区。
张景月,伪山东保安第十五旅旅长,1938-1945,在山东胶东地区投敌，率伪军配合日军进攻抗日根据地，活动范围涉及烟台、海阳周边。
王豫民,伪军头目、国民党投降派,1938-1945,在胶东地区投敌，任伪军职务，配合日军扫荡烟台、海阳一带抗日力量。
蔡晋康,伪军头目、国民党投降派,1938-1945,在胶东地区活动，后投靠日军，率部配合日伪扫荡，对海阳、烟台地区抗日根据地造成破坏。
