name,title,activity_period,notable_deeds
张宗援,伪山东自治联军总司令、伪军头目,1937-1938,日本浪人出身，抗战初期在山东胶东一带收编土匪、散兵组织伪军，配合日军进攻烟台、龙口等地，参与建立伪政权。
刘桂堂,伪军头目、土匪武装首领,1937-1943,原为山东巨匪，抗战期间投靠日军，率部在胶东及鲁中南地区活动，配合日军扫荡抗日根据地，残害民众。
张步云,伪山东保安第二师师长、伪军头目,1938-1945,在山东胶东地区组织伪军，配合日军对烟台、龙口周边抗日武装进行清剿，控制地方伪政权。
赵保原,伪山东第十三区专员、伪军头目,1938-1945,原国民党军将领，后投靠日军，在胶东地区组织伪政权和伪军，控制烟台、龙口一带，配合日军扫荡。
李先良,伪青岛市市长、伪政权官员,1938-1945,抗战期间在山东伪政权中任职，参与日伪统治，其活动范围涉及胶东地区。
曹梦九,伪烟台市市长、伪政权官员,1938-1945,在日军占领烟台后出任伪市长，协助日军维持地方统治，推行伪化教育。
张化南,伪龙口维持会会长,1938-1940,日军占领龙口后组织维持会，为日军筹集物资、征发劳工，协助建立伪基层政权。
王振东,伪黄县县长、伪政权官员,1938-1945,在龙口及黄县地区出任伪县长，配合日军统治，推行保甲制度，镇压抗日活动。
刘子明,伪蓬莱县县长、伪政权官员,1938-1945,在烟台蓬莱地区出任伪县长，协助日军维持治安，参与伪化教育。
孙振东,伪福山县县长、伪政权官员,1938-1945,在烟台福山地区出任伪县长，配合日军扫荡抗日根据地，征发劳工。
张星元,伪军头目、胶东伪军指挥官,1938-1945,在胶东地区组织伪军，配合日军对烟台、龙口周边进行清剿，残害抗日军民。
陈煜,伪山东教育厅官员、伪化教育推行者,1938-1945,在山东伪政权中负责教育事务，推行亲日奴化教育，其影响涉及胶东地区。
