name,title,activity_period,notable_deeds
刘本功,伪定陶县知事、伪鲁西道尹,1938-1945,抗战期间投靠日军，历任伪定陶县知事、伪鲁西道尹等职，在定陶及鲁西地区推行伪化统治，组织伪军配合日军扫荡，强征粮款，镇压抗日民众。
朱经古,伪菏泽县知事,1938-1945,日军侵占菏泽后出任伪菏泽县知事，协助日军建立维持会与保甲制度，推行奴化教育，为日军征发民夫、粮食，参与清乡活动。
李森,伪菏泽县维持会会长,1938-1940,菏泽沦陷初期组织维持会，为日军筹粮筹款、招募伪警，协助日军维持城区秩序，迫害抗日家属。
王兆祥,伪定陶县保安团团长,1940-1945,统率伪保安团配合日军对定陶及周边抗日根据地进行扫荡，捕杀抗日干部和群众，强征壮丁扩充伪军。
张子良,伪曹县县知事、伪鲁西道公署职员,1938-1945,在曹县、菏泽一带为日军效力，历任伪曹县县知事等职，推行保甲连坐，协助日军掠夺物资，镇压抗日活动。
赵子云,伪单县县知事,1939-1945,单县沦陷后投敌，任伪单县县知事，在菏泽南部地区协助日军建立伪政权，征粮征夫，配合扫荡。
马振华,伪巨野县保安大队大队长,1940-1945,率伪军在巨野、定陶交界地区活动，配合日军袭击抗日武装，抢掠民财，残害百姓。
陈伯衡,伪郓城县知事,1938-1945,郓城沦陷后出任伪知事，在菏泽东北部地区推行伪化统治，协助日军征发粮食、劳工，镇压抗日群众。
刘仙洲,伪山东省公署参议、伪鲁西道尹,1938-1945,在山东伪政权中任职，活动范围覆盖鲁西包括菏泽、定陶一带，参与制定伪化政策，协助日军掠夺资源、镇压抗日力量。
唐仰杜,伪山东省省长,1938-1945,抗战期间任伪山东省省长，统领全省伪政权，在菏泽、定陶等鲁西地区推行保甲、清乡、奴化教育，为日军提供物资与人力支持。
马良,伪山东省省长、伪华北政务委员会委员,1938-1943,曾任伪山东省省长，在山东包括菏泽地区推行伪政，协助日军维持占领秩序，镇压抗日活动。
杨毓珣,伪山东省省长,1943-1945,继任伪山东省省长，继续在山东各地包括菏泽、定陶推行伪化统治，配合日军扫荡与物资掠夺。
王露洪,伪定陶县警察局局长,1940-1945,掌控定陶伪警察力量，搜捕抗日人员，协助日军维持治安，参与清乡与保甲连坐，迫害当地民众。
李鹤亭,伪菏泽县保安团团长,1939-1945,统领伪保安团在菏泽及定陶周边配合日军作战，袭击抗日根据地，抢粮抓丁，残害百姓。
孔昭同,伪兖州道尹（活动涉及鲁西）,1938-1945,任伪兖州道尹期间，其辖区与鲁西相邻，参与对菏泽、定陶一带的伪化协调，协助日军征发物资、镇压抗日。
