name,title,activity_period,notable_deeds
刘本功,伪山东省鲁西道尹、伪鲁西保安司令,1938-1945,原为韩复榘部属，抗战初期投敌，在鲁西菏泽、成武、单县、曹县一带组织伪军，配合日军扫荡抗日根据地，推行保甲连坐，强征粮款，残害抗日军民。
朱经古,伪成武县知事、伪成武县维持会长,1938-1945,成武沦陷后出面组织维持会，后任伪县知事，为日军征粮派款、修筑据点，协助日伪军清乡，镇压当地抗日活动。
李仙洲,伪菏泽县知事、伪菏泽县维持会长,1938-1945,菏泽沦陷后投敌，主持伪县政，推行奴化教育，强征民夫修筑菏泽至成武、单县公路及据点，配合日军对鲁西南抗日根据地扫荡。
王文献,伪曹县县知事、伪鲁西道保安副司令,1938-1945,在曹县、成武、单县交界地区组织伪军，配合日军扫荡，杀害抗日干部和群众，掠夺粮食棉花等物资。
张化南,伪单县县知事、伪单县保安团长,1938-1945,单县沦陷后投敌，任伪职期间在单县、成武、金乡一带配合日军清乡，强征壮丁，镇压抗日武装。
赵伯枢,伪定陶县知事、伪定陶县维持会长,1938-1945,定陶沦陷后组织维持会，后任伪县知事，在定陶、成武、菏泽交界地区为日军征粮派款，协助修筑据点，破坏抗日政权。
马振华,伪巨野县知事、伪巨野县保安大队长,1938-1945,巨野沦陷后投敌，任伪职期间在巨野、成武、嘉祥一带配合日军扫荡，强征民夫修筑碉堡，镇压抗日群众。
陈亚东,伪郓城县知事、伪郓城县维持会长,1938-1945,郓城沦陷后组织维持会，后任伪县知事，在郓城、菏泽、成武一带为日军征粮派款，协助清乡，破坏抗日根据地。
刘玉珂,伪鄄城县知事、伪鄄城县保安团长,1938-1945,鄄城沦陷后投敌，任伪职期间在鄄城、菏泽、成武一带配合日军扫荡，强征壮丁，镇压抗日武装。
孙秉贤,伪东明县知事、伪东明县维持会长,1938-1945,东明沦陷后组织维持会，后任伪县知事，在东明、菏泽、成武一带为日军征粮派款，协助修筑据点，破坏抗日政权。
唐仰杜,伪山东省省长,1938-1945,原为北洋政府官员，抗战期间投敌，任伪山东省省长，推行奴化教育，配合日军在山东各地包括菏泽、成武一带征粮派款、清乡扫荡。
马良,伪山东省公署省长、伪济南维持会长,1937-1945,济南沦陷后组织维持会，后任伪山东省省长，为日军在山东包括鲁西菏泽、成武地区征粮派款、推行保甲制度，协助日军扫荡抗日根据地。
杨毓珣,伪山东省公署省长、伪鲁西道尹,1938-1945,抗战期间投敌，任伪山东省省长及鲁西道尹，在鲁西菏泽、成武、单县一带推行伪化统治，配合日军扫荡，强征粮款，镇压抗日军民。
