name,title,activity_period,notable_deeds
张宗援,伪山东省公署省长、伪华北政务委员会委员,1938-1945,原名张宗昌，北洋军阀余孽，抗战期间投靠日军，出任伪山东省长，协助日军推行治安强化运动，镇压山东抗日力量。
唐仰杜,伪山东省公署省长,1940-1945,接替张宗援任伪山东省长，配合日军在山东推行保甲连坐、经济统制，搜刮民财，镇压抗日根据地。
赵琪,伪青岛特别市市长,1938-1943,青岛沦陷后出任伪市长，协助日军维持殖民统治，推行奴化教育，配合经济掠夺。
姚作宾,伪青岛特别市市长,1943-1945,继赵琪后任伪青岛市长，继续为日军服务，直至抗战胜利。
李先良,伪青岛维持会会长,1938,青岛沦陷初期组织维持会，协助日军接管市政，维持地方秩序，为日军侵略服务。
张化南,伪青岛警察局局长,1938-1945,掌管伪青岛警察系统，配合日军搜捕抗日人士，镇压市民反抗。
王克敏,伪中华民国临时政府行政委员会委员长、伪华北政务委员会委员长,1937-1945,华北地区最高伪政权头目，统辖包括山东在内的华北伪政权，推行日军侵略政策。
王揖唐,伪华北政务委员会委员长、伪内务总署督办,1940-1945,继王克敏后任伪华北政务委员会委员长，管辖山东等省伪政权，推行治安强化运动。
朱桂山,伪山东省警务厅厅长,1938-1945,掌管山东伪警察系统，配合日军清乡、扫荡，镇压抗日群众。
成逸庵,伪山东省公署民政厅厅长,1938-1945,负责山东伪政权民政事务，推行保甲制度，协助日军控制基层。
方永昌,伪青岛特别市社会局局长,1938-1945,控制青岛社会团体与舆论，推行奴化宣传，配合日军经济统制。
陈命凡,伪青岛特别市财政局局长,1938-1945,管理青岛伪政权财政，为日军搜刮物资，支持侵略战争。
刘星台,伪青岛特别市教育局长,1938-1945,推行奴化教育，篡改教材，向学生灌输亲日思想。
张乐古,伪青岛商会会长,1938-1945,组织青岛商界为日军筹款筹物，配合经济掠夺。
李德顺,伪青岛保甲长,1938-1945,在青岛基层推行保甲连坐，监视居民，协助日军抓捕抗日人员。
王德海,伪山东剿共军司令,1940-1945,率伪军配合日军扫荡山东抗日根据地，残害抗日军民。
刘佩忱,伪山东剿共军副司令,1940-1945,协助王德海指挥伪军，参与对山东抗日根据地的清乡扫荡。
张步云,伪山东保安军司令,1938-1945,原为土匪，投靠日军后任伪军头目，在山东诸城、青岛一带活动，残害百姓，攻击抗日武装。
赵保原,伪山东保安军师长,1938-1945,原国民党军将领，后投靠日军，在胶东地区配合日军扫荡，进攻八路军。
厉文礼,伪山东保安军司令,1938-1945,在山东潍县、青岛一带活动，投靠日军后任伪军头目，配合日军进攻抗日根据地。
张景月,伪山东保安军司令,1938-1945,在山东寿光、青岛一带活动，投靠日军后任伪军头目，残害抗日军民。
王尚志,伪山东保安军司令,1938-1945,在山东胶东地区活动，投靠日军后任伪军头目，配合日军扫荡。
蔡晋康,伪山东保安军司令,1938-1945,在山东胶东地区活动，投靠日军后任伪军头目，进攻抗日武装。
陈煜,伪青岛特别市警察局督察长,1938-1945,协助张化南管理伪警察，参与搜捕抗日人士。
王子安,伪青岛维持会副会长,1938,协助李先良组织维持会，为日军接管青岛服务。
张子安,伪青岛商会副会长,1938-1945,协助张乐古为日军筹款筹物。
李少白,伪青岛教育会会长,1938-1945,推行奴化教育，组织亲日文化活动。
王锡三,伪青岛保甲长,1938-1945,在青岛基层推行保甲连坐，监视居民，协助日军抓捕抗日人员。
刘子明,伪青岛保甲长,1938-1945,在青岛基层推行保甲连坐，监视居民，协助日军抓捕抗日人员。
张子明,伪青岛保甲长,1938-1945,在青岛基层推行保甲连坐，监视居民，协助日军抓捕抗日人员。
