name,title,activity_period,notable_deeds
张宗援,伪山东自治联军总司令、伪军头目,1937-1945,原名仓谷次太郎，日本浪人出身，长期在山东活动，组织伪军配合日军进攻胶东和青岛周边地区，参与对即墨、平度、莱阳等地的扫荡与镇压。
赵保原,伪暂编第十二师师长、伪胶东地区指挥官,1938-1945,原国民党军将领，后投靠日军，盘踞胶东，活动范围覆盖即墨、莱阳、平度等地，配合日军进攻抗日根据地，残害抗日军民。
李先良,伪青岛特别市市长,1943-1945,抗日战争后期出任伪青岛特别市市长，推行日伪统治政策，协助日军维持青岛及周边即墨等地的治安与物资征调。
姚作宾,伪青岛特别市市长、伪华北政务委员会委员,1938-1943,长期在青岛担任伪职，先后任伪青岛特别市市长等，推行奴化教育、经济统制，配合日军镇压青岛及即墨地区抗日活动。
赵琪,伪青岛特别市市长,1938-1943,青岛沦陷后出任伪市长，协助日军维持殖民统治，在青岛及即墨周边推行保甲连坐、物资统制等政策。
吕振文,伪即墨县知事、伪即墨县维持会会长,1938-1945,即墨沦陷后组织维持会，出任伪即墨县知事，配合日军征粮、抓丁、清乡，镇压即墨地区抗日武装。
张化南,伪即墨县知事,1939-1945,在即墨地区担任伪县知事，推行日伪政令，协助日军对即墨抗日根据地进行扫荡和封锁。
王克敏,伪中华民国临时政府行政委员会委员长、伪华北政务委员会委员长,1937-1945,华北伪政权首脑，其统治范围涵盖山东，推行伪化政策，支持日军在山东包括青岛、即墨地区的殖民统治。
梁鸿志,伪中华民国维新政府行政院长,1938-1940,伪维新政府首脑，其政权影响覆盖山东部分地区，配合日军在青岛及周边地区的统治与掠夺。
唐仰杜,伪山东省省长,1938-1945,出任伪山东省省长，推行日伪政策，协助日军在山东全省包括青岛、即墨地区进行清乡、征粮和镇压抗日力量。
马良,伪山东省省长,1938-1940,曾任伪山东省省长，配合日军维持山东沦陷区统治，在青岛、即墨等地推行保甲制度和奴化教育。
杨毓珣,伪山东省省长,1940-1943,继任伪山东省省长，继续推行日伪统治政策，支持日军对山东抗日根据地的扫荡，涉及青岛、即墨地区。
陈静斋,伪青岛市商会会长、伪青岛特别市公署参议,1938-1945,青岛商界附逆代表人物，协助日军进行经济统制和物资掠夺，为伪政权筹措资金和物资。
丁敬臣,伪青岛特别市公署财政局长,1938-1945,在伪青岛政权中主管财政，为日军搜刮民财、推行伪币和物资统制，支持殖民统治。
李仲刚,伪即墨县警察局局长,1939-1945,担任伪即墨县警察局长，指挥伪警察配合日军搜捕抗日人员，镇压即墨地区抗日活动。
孙鸣岗,伪即墨县保安团团长,1940-1945,组织伪保安团，配合日军对即墨及周边地区进行扫荡，残害抗日军民。
张步云,伪山东保安第二师师长,1938-1945,盘踞山东胶东地区，后投靠日军，配合日军进攻即墨、平度、莱阳等地抗日根据地。
曹克明,伪军胶东挺进军司令,1939-1945,在胶东地区组织伪军，配合日军对即墨、青岛周边抗日武装进行清剿。
王尚志,伪军鲁东挺进军司令,1938-1945,在鲁东地区活动，投靠日军后配合其对即墨、青岛一带进行扫荡和镇压。
周学昌,伪青岛特别市社会局局长,1938-1945,在伪青岛政权中负责社会事务，推行奴化教育和社会控制，协助日军维持青岛及即墨地区统治秩序。
