name,title,activity_period,notable_deeds
张宗援,伪青岛特别市市长,1938-1939,日军侵占青岛后出任伪市长，协助日军维持殖民统治，推行伪化政策。
赵琪,伪青岛特别市市长,1939-1943,长期担任伪青岛市长，配合日军经济掠夺与治安强化运动，镇压抗日活动。
姚作宾,伪青岛特别市市长,1943-1945,抗战后期任伪青岛市长，继续为日军服务，直至日本投降。
李先良,伪青岛维持会会长,1938,日军第二次侵占青岛后组织维持会，协助日军接管市政。
韩鹏九,伪青岛警察局局长,1938-1945,掌控伪警察系统，配合日军搜捕抗日人员，实施保甲连坐。
王克敏,伪中华民国临时政府行政委员会委员长,1937-1940,华北伪政权首脑，其伪政权管辖包括山东，推行日军殖民政策。
梁鸿志,伪中华民国维新政府行政院院长,1938-1940,华中伪政权头目，与山东伪政权有联系，协助日军统治。
唐仰杜,伪山东省省长,1938-1945,长期任伪山东省长，配合日军在山东推行治安强化运动，掠夺资源。
马良,伪山东省省长,1938-1939,早期伪山东省长，协助日军建立伪政权，镇压抗日力量。
杨毓珣,伪山东省省长,1945,抗战末期任伪山东省长，继续为日军服务。
张景月,伪山东保安总队司令,1938-1945,在山东地区组织伪军，配合日军扫荡抗日根据地。
赵保原,伪山东保安师师长,1938-1945,在胶东地区活动，后投靠日军，进攻抗日武装。
厉文礼,伪山东保安旅旅长,1938-1945,在山东潍县一带活动，后降日，配合日军作战。
张步云,伪山东保安第二师师长,1938-1945,在山东诸城、胶县一带组织伪军，协助日军维持统治。
李德元,伪青岛商会会长,1938-1945,在经济领域附逆，协助日军掠夺物资，控制青岛商业。
陈命凡,伪青岛教育局长,1938-1945,推行奴化教育，篡改教材，向学生灌输亲日思想。
刘子明,伪城阳维持会会长,1938-1940,在城阳地区组织维持会，协助日军征粮、征夫，维持地方伪秩序。
王振东,伪城阳警察所所长,1938-1945,在城阳地区负责伪警察事务，搜捕抗日人员，实施保甲制度。
