name,title,activity_period,notable_deeds
李守信,伪蒙古军总司令、伪大同省省长,1937-1945,投靠日军，任伪蒙古军总司令，后任伪大同省省长，协助日军统治大同及周边地区，镇压抗日力量，推行奴化政策。
王英,伪绥西联军司令、伪大同地区保安司令,1937-1945,率部投敌，在晋北及大同地区配合日军扫荡，残害抗日军民，劫掠百姓。
白志沂,伪晋北政厅厅长（驻大同）,1938-1945,任伪晋北政厅厅长，管理大同、云州等县，推行日伪法令，强征粮税，协助日军建立维持会。
张树帜,伪大同县知事（县长）,1937-1940,出任伪大同县知事，为日军征夫派粮，镇压抗日活动，破坏地下组织。
赵承绶,伪大同保安队队长,1938-1945,组织伪保安队，协助日军巡逻、抓捕抗日志士，参与多次“清乡”行动。
马占山（注：此人为伪职，非抗日将领马占山）,伪云州维持会会长,1937-1943,在云州地区组织维持会，为日军提供情报，强征民夫修筑工事，欺压百姓。
郭登瀛,伪大同警务局副局长,1939-1945,负责伪警察事务，协助日军搜捕抗日分子，实施“连坐”制度，迫害无辜民众。
刘振华,伪云州自卫团团长,1940-1945,组织伪自卫团，配合日军扫荡云州周边村庄，烧杀抢掠，强征壮丁。
韩福海,伪大同县财政科科长,1938-1945,为日军征收苛捐杂税，贪污勒索，导致当地民生凋敝。
王佐才,伪云州宣抚班班长,1937-1942,负责日伪宣传，散布“中日亲善”言论，瓦解民众抗日意志，诱骗青年加入伪军。
