name,title,activity_period,notable_deeds
王天祥,伪浑源县县长,1937-1945,投靠日军，任伪浑源县县长，协助日军推行‘治安强化运动’，强征民夫，搜刮粮食，镇压抗日群众。
李守信,伪蒙疆自治政府副主席、伪蒙古军总司令,1937-1945,原东北军将领，后投日，在察哈尔、绥远及山西北部（含大同、浑源一带）配合日军进攻抗日武装，参与建立伪蒙疆政权，为日军提供兵力和情报。
德穆楚克栋鲁普（德王）,伪蒙疆联合自治政府主席,1937-1945,蒙古族王公，投靠日本，建立伪蒙疆政权，其势力范围包括大同、浑源等晋北地区，协助日军统治和掠夺资源。
夏恭,伪晋北自治政府主席（后并入蒙疆）,1937-1939,原大同地方士绅，日军占领大同后出任伪晋北自治政府主席，管辖大同、浑源等县，为日军征收赋税、组织伪军。
马永魁,伪大同县知事（后任伪蒙疆政府要职）,1937-1945,投靠日军，历任伪大同县知事，在浑源等地推行保甲制度，抓捕抗日分子，强征劳工。
张成德,伪浑源县保安队队长,1938-1945,组织伪保安队，配合日军‘扫荡’浑源抗日根据地，杀害抗日军民，抢劫财物。
赵全璧,伪浑源县警察局局长,1939-1945,任伪警察局长，协助日军搜捕地下党员和抗日群众，破坏抗日组织，参与‘清乡’行动。
刘升,伪浑源县维持会会长,1937-1938,日军初占浑源时出任维持会长，为日军筹集粮款，提供向导，帮助日军建立伪政权。
王谦,伪大同省公署参事（分管浑源）,1940-1945,在伪大同省任职期间，多次到浑源督导‘治安肃正’，组织伪军配合日军进攻八路军游击队。
李郁文,伪浑源县教育科长,1938-1945,推行奴化教育，强迫学校使用日伪教材，宣扬‘中日亲善’，破坏抗日宣传。
