name,title,activity_period,notable_deeds
苏体仁,伪山西省省长,1938-1943,投靠日军，出任伪山西省省长，推行日伪统治政策，协助日军掠夺山西资源，镇压抗日力量。
王骧,伪山西省公署顾问,1938-1945,曾任阎锡山部属，后投敌，为日军提供山西军政情报，参与组建伪政权。
梁上椿,伪山西省财政厅长,1938-1945,在伪山西省公署任职期间，负责为日军筹措军费，强征捐税，搜刮民财。
张联魁,伪山西省警务厅长,1939-1945,组织伪警察协助日军维持治安，抓捕抗日志士，参与“治安强化运动”。
赵戴文（注：此为历史争议人物，但未投敌，故不列入）,无,无,无
李服膺（注：因作战不力被处决，非汉奸）,无,无,无
王永泉,伪太原市长,1938-1940,任伪太原市长期间，推行日伪市政管理，强拆民房，为日军建立兵营和仓库。
叶灵原,伪太原市警察局长,1939-1945,指挥伪警察配合日军宪兵队，搜捕地下抗日人员，镇压学生运动。
张慕陶（注：曾在太原活动，后因托派问题被处决，非典型汉奸）,无,无,无
郝鹏举（注：主要在山西活动，后投汪伪，但非太原小店本地）,伪淮海省省长（后）,1941-1945,曾任阎锡山部军官，后投靠日军，在山西参与清乡，后转投汪伪政权。
赵承绶（注：被俘后投敌，但未在太原任职）,伪晋绥军将领（投敌后）,1941-1945,被日军俘虏后变节，协助日军劝降晋绥军，但主要活动在晋西。
王谦（注：太原小店地区伪保长）,伪小店村保长,1940-1945,为日军征收粮食和劳役，告发抗日村民，导致多名群众被杀害。
李茂林,伪小店区维持会长,1939-1945,组织维持会为日军提供物资，强迫村民修炮楼，协助日军“扫荡”。
张德胜,伪太原县保安队副队长,1941-1945,率伪保安队配合日军袭击小店周边抗日游击队，杀害抗日军属。
刘文秀,伪太原县知事,1942-1945,在伪县府任职期间，推行“保甲制度”，强征壮丁，为日军输送劳工。
赵全功,伪太原县警察所所长,1943-1945,抓捕抗日地下交通员，破坏小店地区地下联络站。
