name,title,activity_period,notable_deeds
王英,伪蒙古军总司令,1937-1945,原晋系军官，后投日，在忻州及晋北地区协助日军扫荡，组织伪军镇压抗日力量。
李守信,伪蒙古军副总司令,1937-1945,在忻州地区配合日军进攻八路军根据地，参与“治安强化”运动，残害抗日军民。
赵承绶,伪山西省政府顾问,1939-1945,原晋军将领，投日后在忻州地区为日军提供情报，协助建立伪政权，劝降抗日武装。
王靖国,伪山西保安副司令,1940-1945,在忻州地区组织伪保安队，参与“清乡”行动，屠杀抗日群众，破坏地下组织。
杨澄源,伪忻县县长,1938-1942,在忻县推行日伪统治，强征粮食，抓捕抗日家属，协助日军建立情报网。
张成义,伪定襄县知事,1939-1943,在定襄县为日军征夫派款，破坏抗日根据地，多次带日伪军偷袭八路军后方。
刘子干,伪五台县维持会会长,1938-1941,在五台山地区为日军带路，搜捕抗日干部，强迫民众“归顺”日伪。
高步云,伪崞县（原平）警备队长,1940-1945,在崞县（今原平）率伪警备队配合日军“扫荡”，烧毁村庄，杀害抗日游击队员。
郭登瀛,伪代县保安团长,1941-1945,在代县组织伪保安团，参与日军“三光”政策，多次袭击八路军运输线。
阎效正,伪繁峙县新民会会长,1939-1944,在繁峙县推行奴化教育，收集抗日情报，协助日军抓捕地下党员。
白志沂,伪宁武县警备大队长,1940-1945,在宁武县率伪军多次围剿抗日武装，杀害多名八路军伤员和群众。
张绍棠,伪静乐县维持会副会长,1938-1942,在静乐县为日军筹集粮款，出卖抗日积极分子，导致多名地下交通员牺牲。
赵晋藩,伪神池县知事,1941-1944,在神池县推行保甲制度，强征壮丁，协助日军修筑碉堡和封锁沟。
王梦龄,伪河曲县警备队长,1942-1945,在河曲县率伪军袭击黄河渡口，阻断抗日物资运输，杀害游击队员。
李生达,伪保德县维持会会长,1939-1943,在保德县为日军提供煤炭资源情报，协助日伪军“扫荡”晋绥边区。
杨爱源,伪偏关县保安团长,1940-1945,在偏关县组织伪军，参与日军对长城沿线抗日根据地的封锁和进攻。
续范亭（叛变后）,伪晋西北剿共军顾问（注：实际未叛变，此处为历史争议，不列入）,无,无
