name,title,activity_period,notable_deeds
王英,伪临晋县知事,1938-1945,日军占领临晋后出任伪知事，协助日军推行‘治安强化运动’，强征民夫修筑碉堡公路，并组织伪警备队镇压抗日民众。
张子谦,伪猗氏县知事,1939-1945,任伪猗氏县知事期间，为日军提供粮秣情报，参与‘清乡’行动，抓捕抗日干部及家属，并强迫百姓领取‘良民证’。
李茂斋,伪运城维持会会长,1938-1940,日军侵占运城后率先投敌，组织维持会，为日军筹措物资，协助建立伪政权，并出卖抗日地下工作者名单。
薛子厚,伪运城保安队副队长,1940-1945,率部充当日军爪牙，多次参与‘扫荡’临猗、万泉一带，杀害抗日游击队员，并抢劫百姓财物。
荆耀南,伪临晋县警备大队长,1941-1945,指挥伪警备队配合日军突袭抗日村庄，放火烧毁民房，并亲自拷打被俘的抗日军民，致多人死亡。
姚天福,伪猗氏县新民会会长,1942-1945,利用新民会宣传‘中日亲善’，强迫青年参加伪军训练，并密报抗日活动，导致多名地下党员被捕。
卫子丰,伪运城商会会长,1939-1945,为日军统制物资，强征商户捐款，垄断食盐和棉花贸易，从中牟利，并协助日军经济掠夺。
裴子明,伪临晋县维持会副会长,1938-1943,为日军带路搜捕抗日家属，参与建立‘爱护村’，强迫村民报告八路军动向，并杀害两名抗日交通员。
阎子敬,伪猗氏县警察局长,1940-1945,指挥伪警察协助日军设卡盘查，抓捕过往可疑人员，并参与‘大检举’行动，将数十名群众押送日军宪兵队。
陈子厚,伪运城宣抚班班长,1938-1942,随日军宣抚班到临猗各村演讲，诱骗百姓归顺，并收集地方武装情报，导致多支抗日小分队遭伏击。
