name,title,activity_period,notable_deeds
张良臣,永济县伪县长,1938-1945,投靠日军，任永济县维持会会长及伪县长，协助日军推行“治安强化运动”，强征民夫、粮食，镇压抗日群众。
王英,伪山西省政府顾问,1939-1945,原晋南土匪头目，后投日，任伪山西省政府顾问兼“剿共军”司令，在运城、永济一带配合日军扫荡抗日根据地。
李守信,伪蒙古军总司令（涉足晋南）,1938-1940,虽为伪蒙疆政权将领，但曾率部配合日军在运城、永济地区参与“清剿”八路军和游击队，烧杀抢掠。
乔日成,伪晋南保安队队长,1940-1945,原国民党溃兵，后投日，任永济县保安队队长，多次带队袭击抗日武装，抓捕并杀害抗日军民。
赵承绶,伪山西剿共军第2师师长,1941-1945,原晋绥军军官，投日后驻防运城地区，参与日军“铁壁合围”行动，在永济、临猗等地屠杀抗日干部。
杨澄源,伪运城道尹公署道尹,1939-1943,任伪运城道尹，协助日军建立伪政权，推行保甲制度，强征粮税，并组织汉奸情报网破坏地下抗日组织。
张维藩,永济县伪警察局局长,1940-1945,充当日军鹰犬，指挥伪警察搜捕抗日分子，严刑逼供，并参与“三光”政策下的纵火和掠夺。
薛文教,伪运城保安团团长,1942-1945,率伪保安团在永济中条山一带多次袭击八路军游击队，杀害抗日村长和群众，抢夺物资。
刘谦,伪山西新民会运城分会会长,1940-1945,负责在运城、永济地区推行奴化教育，宣传“中日亲善”，强迫民众参加“新民会”，刺探抗日情报。
杜衡,伪永济县维持会副会长,1938-1941,协助日军建立维持会，为日军提供粮食和民夫，并告密导致多名抗日地下党员被捕牺牲。
