name,title,activity_period,notable_deeds
苏体仁,伪山西省省长,1938-1943年,投靠日军，任伪山西省长，推行奴化政策，协助日军掠夺山西资源，镇压抗日力量。
王骧,伪山西省公署顾问,1938-1945年,为日军出谋划策，参与建立伪政权，协助日军在运城地区清乡扫荡。
李润发,伪河津县知事,1939-1942年,任伪河津县知事，强征民夫修筑公路碉堡，为日军提供粮食情报，迫害抗日家属。
薛子良,伪河津县保安队队长,1940-1945年,率伪军配合日军扫荡汾南抗日根据地，抓捕杀害抗日干部，勒索百姓。
柴九思,伪河津县维持会会长,1938-1940年,组织维持会迎接日军，协助建立伪政权，摊派粮款，为日军带路袭击村庄。
原屏藩,伪运城道尹,1939-1943年,任伪运城道尹，管辖河津等县，推行保甲制度，强征壮丁，配合日军经济封锁。
张子奇,伪运城警备司令,1941-1945年,指挥伪军驻守运城、河津要道，参与多次扫荡，杀害抗日游击队员。
侯俊明,伪河津县新民会会长,1940-1945年,宣传中日亲善，组织奴化教育，搜集抗日情报，破坏地下党组织。
杨茂斋,伪河津县警察所所长,1939-1944年,带领伪警察抓捕抗日群众，严刑逼供，协助日军屠杀无辜百姓。
赵晋三,伪河津县财政科科长,1938-1942年,为日军征收苛捐杂税，贪污抗日物资，逼迫农民交出粮食支援日军。
