name,title,activity_period,notable_deeds
王英,伪芮城县维持会会长,1938-1945,日军占领芮城后出任维持会长，为日军征粮派款，协助建立伪政权，镇压抗日民众。
张守义,伪芮城县保安队队长,1939-1945,率伪军配合日军扫荡抗日根据地，抓捕并杀害抗日军民，抢劫百姓财物。
李茂斋,伪芮城县警察局局长,1940-1945,效忠日军，负责维持县城治安，搜捕抗日地下人员，迫害爱国群众。
赵全禄,伪运城道公署顾问,1938-1945,作为日军顾问参与运城地区伪政权决策，协助推行奴化教育和经济掠夺。
薛子正,伪运城保安司令部副司令,1939-1945,指挥伪军多次进攻中条山抗日游击队，破坏抗日组织，残害百姓。
裴昌会,伪山西省公署参事,1941-1945,在太原伪省府任职，参与制定针对晋南地区的“治安强化”措施，协助日军清乡。
杨作霖,伪芮城县新民会会长,1940-1945,宣传“中日亲善”，组织奴化教育，强迫民众参加反共集会，收集抗日情报。
贾恒礼,伪运城粮食统制委员会主任,1942-1945,为日军强征粮食，压低粮价收购，导致百姓饥荒，并将粮食转运日军军需。
王佐才,伪芮城县税务局局长,1939-1945,为日军征收各种苛捐杂税，勒索商户，中饱私囊，并协助日军控制经济命脉。
陈子明,伪运城特务队队长,1940-1945,专门刺探抗日军情，抓捕地下党员，刑讯逼供，制造多起惨案。
