name,title,activity_period,notable_deeds
王英,伪沁县县长,1938-1940,在沁县（今属沁源周边）任伪县长，推行日伪政权，强征粮税，镇压抗日群众。
李德胜,伪沁源县维持会会长,1940-1942,组织维持会，为日军提供粮食和情报，协助日军扫荡沁源抗日根据地。
赵全禄,伪沁源县保安队队长,1941-1943,率保安队配合日军围剿八路军，抓捕抗日干部，杀害无辜百姓。
陈国栋,伪长治县知事,1938-1941,在长治县（今长治市辖区）任伪知事，推行奴化教育，强征劳工，协助日军建立伪政权。
张子丰,伪长治县警备队大队长,1939-1942,率警备队多次袭击抗日武装，破坏地下党组织，残害抗日家属。
刘文焕,伪沁源县新民会会长,1940-1944,宣传“中日亲善”，组织汉奸团体，搜集抗日情报，协助日军进行经济封锁。
王世昌,伪长治县维持会会长,1938-1940,为日军筹集物资，强征民夫修筑碉堡，迫害抗日积极分子。
李春芳,伪沁源县警察局局长,1941-1943,指挥伪警察搜捕抗日分子，严刑逼供，破坏抗日地下交通线。
赵子明,伪长治县保安队副队长,1940-1943,参与多次“清乡”行动，烧毁村庄，掠夺财物，杀害抗日军民。
陈永福,伪沁源县合作社主任,1942-1945,控制物资配给，垄断粮食，为日军提供军需，剥削百姓。
王德山,伪长治县新民会副会长,1939-1942,协助会长开展奴化宣传，组织青少年接受日式教育，举报抗日活动。
李国华,伪沁源县警备队副队长,1940-1944,带队伏击抗日游击队，杀害多名八路军战士，抢夺武器弹药。
张德胜,伪长治县警察局局长,1941-1943,严酷镇压抗日运动，设立集中营，关押审讯抗日群众。
刘永昌,伪沁源县维持会副会长,1940-1942,协助会长征收苛捐杂税，向日军报告抗日武装动向。
王金堂,伪长治县警备队中队长,1942-1944,率队参与“铁壁合围”扫荡，屠杀无辜村民，烧毁房屋。
赵文斌,伪沁源县新民会宣传股长,1941-1943,编写反共宣传材料，强迫村民参加“庆祝会”，破坏抗日舆论。
李永清,伪长治县维持会副会长,1939-1941,为日军征粮派款，强抓壮丁，充当日军翻译。
陈文华,伪沁源县保安队中队长,1942-1945,参与多次突袭抗日村庄，杀害抗日干部，抢劫群众财产。
王振国,伪长治县新民会宣传股长,1940-1943,组织“中日亲善”演讲，强迫学生唱日本歌，举报抗日师生。
张永福,伪沁源县警察局副局长,1942-1944,协助局长搜捕地下党员，刑讯逼供，导致多名抗日志士牺牲。
刘德胜,伪长治县保安队分队长,1941-1943,率队袭击八路军运输队，抢夺物资，杀害押运战士。
李全忠,伪沁源县合作社副经理,1943-1945,配合日军掠夺粮食，压低收购价，导致百姓饥荒。
王永昌,伪长治县警察局侦缉队长,1942-1944,专门侦捕抗日地下工作者，破坏情报网，严刑拷打。
赵德胜,伪沁源县警备队分队长,1941-1943,参与“三光”政策，烧杀抢掠，无恶不作。
陈国华,伪长治县新民会组织股长,1940-1942,发展汉奸会员，建立情报网络，向日军提供抗日名单。
张永清,伪沁源县维持会情报员,1941-1944,化装成商人刺探八路军情报，导致多次伏击失败。
李德全,伪长治县警备队副官,1942-1945,负责联络日军，策划扫荡行动，杀害抗日群众。
王永福,伪沁源县新民会青年股长,1942-1944,强迫青年参加“自卫团”，为日军站岗放哨，阻挠抗日活动。
刘文忠,伪长治县维持会情报员,1939-1941,秘密监视抗日家庭，报告其行踪，导致多人被捕。
赵永昌,伪沁源县保安队副官,1943-1945,协助日军训练伪军，参与镇压抗日武装起义。
