name,title,activity_period,notable_deeds
李守信,伪盂县保安队队长,1937-1945,投靠日军，组建伪保安队，协助日军扫荡抗日根据地，抓捕抗日军民，勒索百姓财物。
赵秉钧,伪盂县维持会会长,1938-1940,日军占领盂县后出任维持会长，为日军征粮派款，提供情报，迫害抗日家属。
王耀武,伪盂县警备队副队长,1940-1945,协助日军在盂县东部山区进行“清剿”，杀害抗日干部，烧毁村庄。
张鸿志,伪盂县新民会会长,1939-1945,推行奴化教育，组织“新民会”宣传亲日思想，刺探抗日活动，强迫青年参加伪军。
刘子厚,伪盂县合作社理事长,1941-1945,控制盂县粮食和物资配给，克扣百姓口粮，为日军提供军需物资，从中贪污。
郭清泉,伪盂县警察所所长,1942-1945,指挥伪警察搜捕地下党员，刑讯逼供，破坏抗日地下组织，参与“治安强化运动”。
杨茂林,伪盂县保安团团长,1943-1945,率伪保安团配合日军进攻抗日根据地，在盂县北部制造多起惨案，烧杀抢掠。
高步云,伪盂县税务局长,1939-1945,为日军强征各种苛捐杂税，盘剥百姓，逼交“慰劳金”，中饱私囊。
白俊杰,伪盂县情报组组长,1940-1945,专门搜集八路军和抗日游击队情报，多次导致抗日人员被捕牺牲。
孙殿英,伪盂县自卫团总团长,1941-1945,组织伪自卫团，协助日军封锁抗日根据地，参与“三光”政策，杀害无辜群众。
