name,title,activity_period,notable_deeds
陈耀枢,伪云浮县维持会会长,1938-1940,日军侵占云浮期间出面组织伪维持会，为日军征派粮秣、拉夫，协助维持占领区秩序。
李仲平,伪云浮县警察局巡官,1939-1941,在伪政权警政系统中任职，参与搜捕抗日人员、盘查过往行人，为日军提供地方情报。
黄伯元,伪云浮县保甲长,1940-1943,担任基层保甲长，负责摊派捐税、登记户口，协助伪政权控制乡村，压迫当地民众。
梁耀南,伪广东绥靖军云浮地区招抚专员,1941-1944,在云浮及周边地区为伪军招兵买马，诱降地方武装，配合日军对抗日根据地进行扫荡。
陈铁魂,伪西江地区行政督察专员公署参事,1942-1945,在伪西江地区政权中任职，参与制定并推行奴化教育及经济统制政策，涉及云浮等县。
莫福如,伪云浮县商会会长,1939-1942,控制云浮商会期间为日军采购物资，强制商户缴纳所谓“治安费”，协助日军经济掠夺。
刘佐周,伪广东和平救国军云浮支队支队长,1943-1945,率伪军配合日军在云浮、罗定一带进行清乡，袭击抗日游击队，残害抗日群众。
谭启秀,伪粤西治安维持会联合会委员,1940-1943,在粤西包括云浮地区参与伪维持会联合活动，协调各伪组织为日军服务，推行保甲连坐。
陈公博,伪南京国民政府立法院院长、伪广东省政府主席,1940-1945,作为汪伪政权核心人物，其伪广东省政府管辖包括云浮在内的广东沦陷区，推行傀儡统治。
汪精卫,伪南京国民政府主席兼行政院院长,1940-1944,建立汪伪政权，其统治范围涵盖广东沦陷区，云浮地区伪政权名义上受其管辖。
