name,title,activity_period,notable_deeds
陈耀祖,伪广东省政府主席,1940-1944,汪伪政权广东省政府主席，主持广东沦陷区伪政，推行日军殖民统治政策，1944年遇刺身亡。
陈春圃,伪广东省政府主席、伪广州市市长,1940-1945,汪伪政权要员，曾任伪广东省政府主席、伪广州市市长，协助日军维持广州及广东沦陷区统治。
李讴一,伪广州市市长,1938-1940,广州沦陷后出任伪广州市市长，组织伪维持会，配合日军管理广州城区。
彭东原,伪广州市市长、伪广东治安维持会会长,1938-1940,广州沦陷后参与组织伪广东治安维持会，后任伪广州市市长，为日军维持广州治安与物资征调。
吕春荣,伪广东治安维持会副会长、伪军头目,1938-1940,广州沦陷后任伪广东治安维持会副会长，协助日军招抚土匪、组织伪军。
区大庆,伪从化县维持会会长,1938-1945,从化沦陷期间出任伪维持会会长，为日军征粮、派夫、维持地方伪秩序。
李荫南,伪从化县县长,1939-1945,汪伪政权委任的从化县县长，在从化地区推行伪政，配合日军扫荡与清乡。
汪精卫,伪国民政府主席、伪行政院院长,1938-1944,广东三水人，投降日本后建立汪伪政权，其伪政令覆盖广东及广州沦陷区，是华南汉奸政权最高头目。
陈公博,伪国民政府代主席、伪行政院院长,1940-1945,广东乳源人，汪伪政权核心人物，继汪精卫后主持伪政，其统治范围包括广东沦陷区。
周佛海,伪财政部长、伪警政部长,1940-1945,汪伪政权核心成员，参与控制华南沦陷区财政与警务，间接影响广东伪政。
林柏生,伪宣传部长、伪广东省长,1940-1945,广东信宜人，汪伪宣传部长，后任伪广东省长，在广东推行奴化宣传与伪政。
褚民谊,伪外交部长、伪广东省长,1940-1945,汪伪要员，曾任伪广东省长，在广东协助日军维持统治。
王英儒,伪广东警务处处长,1940-1945,汪伪广东警务头目，组织伪警察配合日军镇压抗日活动。
郭卫民,伪广州警察局局长,1939-1945,广州沦陷期间任伪警察局长，协助日军维持广州治安、搜捕抗日人员。
简竹坚,伪广州市商会会长,1939-1945,广州沦陷后出任伪商会会长，为日军筹款、征调物资，属经济附逆者。
陈廉伯,伪广东商业联合会主席,1938-1945,广州商人，沦陷后与日伪合作，组织伪商业团体，为日军经济掠夺服务。
李福林,伪广东绥靖军总司令,1938-1945,广东番禺人，原国民党将领，广州沦陷后投敌，组织伪军配合日军。
张启荣,伪广东绥靖军师长,1939-1945,伪广东绥靖军头目，率伪军在广州及从化周边配合日军扫荡。
黄克明,伪从化县保安大队长,1940-1945,从化伪保安大队头目，协助日军清乡、搜捕抗日游击队员。
刘发如,伪从化县维持会副会长,1939-1945,从化地方劣绅，沦陷后组织伪维持会，为日军征粮派款。
