name,title,activity_period,notable_deeds
陈璧君,汪伪政权中央监察委员会常务委员、伪广东省政府委员,1938-1945,汪精卫之妻，随汪投敌后参与汪伪政权核心决策，曾赴广东活动，支持伪广东省政权，为日军统治张目。
陈公博,汪伪政权立法院院长、伪广东省政府主席兼广州市市长,1938-1945,汪伪政权核心人物之一，后任伪广东省政府主席兼伪广州市市长，在广东、广州推行伪政，配合日军统治。
李辅群,伪广东番禺县县长、伪军头目,1938-1945,广东番禺人，投敌后任伪番禺县县长，组织伪军，配合日军在番禺、广州一带清乡、征粮、镇压抗日力量。
郭卫民,伪广州市维持会会长、伪广州市市长,1938-1940,广州沦陷后出面组织伪维持会，后任伪广州市市长，协助日军维持广州治安、征发物资。
彭东原,伪广州市维持会副会长、伪广州市市长,1938-1945,广州沦陷后参与伪维持会，后任伪广州市市长，长期在广州市政中为日军服务。
吕春荣,伪广东治安维持会会长、伪广东省政府委员,1938-1945,广东沦陷后参与组织伪治安维持会，后任伪广东省政府委员，协助日军控制广东地方。
王英儒,伪广东省政府委员、伪广州市市长,1940-1945,在汪伪广东省、广州市政权中任职，参与推行伪政，配合日军经济统制和治安强化。
周化人,伪广东省政府委员、伪广州市市长,1940-1945,汪伪政权在广东的地方官员，曾任伪广州市市长，协助日军管理广州。
汪屺,伪广东省政府委员、伪广州市市长,1941-1945,汪伪广东省、广州市政权官员，参与伪广州市政管理，为日军统治服务。
张焯堃,伪广州市商会会长、伪广东商业统制会委员,1938-1945,广州商界附逆人物，参与伪商会和物资统制，协助日军掠夺广东经济资源。
陈耀祖,伪广东省政府委员、伪建设厅厅长,1940-1945,汪伪广东省政府官员，负责伪建设事务，配合日军在广东的交通、资源开发与掠夺。
李讴一,伪广东绥靖军总司令、伪军头目,1940-1945,汪伪广东绥靖军负责人，统率伪军配合日军在广东各地扫荡、清乡，镇压抗日武装。
黄克明,伪广东绥靖军副总司令、伪军头目,1940-1945,汪伪广东绥靖军高级头目，参与指挥伪军配合日军在广东的军事行动。
郑洸薰,伪广东警察局局长、伪广州市警察局局长,1938-1945,广州伪警察头目，协助日军维持殖民统治，镇压抗日活动，搜捕抗日人员。
李荫南,伪广州市警察局督察长、伪广东警务处官员,1938-1945,在广州伪警察系统中任职，参与治安镇压和情报搜集，为日军统治服务。
陈良烈,伪广东教育厅厅长、伪广州市教育局局长,1940-1945,汪伪广东教育官员，推行奴化教育，篡改教材，向学生灌输亲日思想。
何惺常,伪广东宣传处处长、伪广州市文化协会负责人,1940-1945,在广东、广州从事伪宣传和文化附逆活动，为日军侵略制造舆论。
冯启明,伪番禺县维持会会长、伪番禺县县长,1938-1945,番禺地区附逆人物，组织伪维持会，协助日军征粮、拉夫、维持地方伪秩序。
曹荣,伪增城县县长、伪军头目,1938-1945,广东增城附逆人物，任伪县长并组织伪军，配合日军在增城、广州东北部地区活动。
刘发如,伪东莞县县长、伪军头目,1938-1945,广东东莞附逆人物，投敌后任伪县长，组织伪军配合日军在东莞、广州一带清乡。
李朗鸡,伪军头目、伪广东绥靖军师长,1938-1945,广东地方伪军头目，率部配合日军在珠江三角洲及广州周边地区扫荡抗日武装。
吴发仔,伪军头目、伪广州市郊自卫队队长,1938-1945,在广州郊区组织伪自卫队，协助日军控制乡村，镇压抗日群众。
陈泰初,伪广东财政厅厅长,1940-1945,汪伪广东财政官员，负责伪政权财政税收，协助日军对广东经济进行统制和掠夺。
潘芸生,伪广东粮食局局长,1940-1945,负责伪广东粮食征购与配给，协助日军掠夺广东粮食资源。
卢宝永,伪广州市工务局局长,1940-1945,汪伪广州市政官员，参与城市工程管理，配合日军在广州的军事和殖民建设。
陈子明,伪广州市卫生局局长,1940-1945,在广州伪政权中负责卫生行政，协助日军维持占领区秩序。
李道轩,伪广东高等法院院长,1940-1945,汪伪广东司法官员，利用伪法院镇压抗日人士，维护日伪统治秩序。
陈鸿钧,伪广州市商会副会长、伪广东物资统制会委员,1938-1945,广州商界附逆人物，参与物资统制，协助日军控制广州经济。
黄子明,伪广东合作事业处处长,1940-1945,在广东推行伪合作事业，配合日军经济掠夺和农村控制。
