name,title,activity_period,notable_deeds
李群,伪惠州维持会会长,1938年10月—1939年,日军侵占惠州后出面组织伪维持会，为日军筹粮、派夫、维持所谓地方秩序，协助日军控制惠州城区。
黄植楠,伪惠阳县政府筹备处负责人、伪惠阳县县长,1939年—1941年,在日军扶植下参与组织伪惠阳县政权，推行伪化统治，征发民夫物资供应日军，配合日军对东江地区的控制。
陈友仁,伪惠阳县警察局头目,1940年—1943年,充任伪警察头目，协助日军搜捕抗日人员，镇压民众抗日活动，维护日伪在惠州城区的统治秩序。
张子良,伪东江维持会委员,1938年—1940年,在东江地区参与伪维持会活动，为日军搜集情报、劝诱地方士绅附逆，协助日军推行保甲连坐。
刘伯群,伪惠阳商会会长,1939年—1942年,以商会名义为日军摊派捐款、物资，协助日伪对惠州工商业者进行控制与掠夺。
何仲明,伪惠州教育会负责人,1940年—1944年,在惠州推行奴化教育，组织学校使用日伪教材，宣传所谓“大东亚共荣圈”，毒害青年学生。
王少棠,伪惠阳保安队队长,1941年—1944年,率领伪保安队配合日军扫荡东江抗日根据地，搜捕抗日游击队员及其家属。
李荫南,伪博罗县维持会会长,1938年—1940年,惠州周边博罗地区伪维持会头目，为日军征粮派夫，协助日军控制博罗一带。
陈耀廷,伪增城县县长,1939年—1943年,在广州周边增城地区充任伪县长，配合日军对增城、惠州一带的治安强化运动。
吕春荣,伪广东治安维持会委员、伪军头目,1938年—1945年,广东地区知名汉奸，参与伪广东省政权与伪军组织，其势力范围涉及东江、惠州一带，协助日军维持占领区统治。
陈公博,伪广东省政府主席、汪伪政权要员,1940年—1945年,汪伪政权核心人物之一，曾任伪广东省政府主席，推行伪化统治，其政策覆盖包括惠州在内的广东沦陷区。
梁朝杰,伪广东绥靖公署头目,1941年—1945年,参与伪广东军事与绥靖事务，指挥伪军配合日军在广东各地包括东江惠州地区进行清乡与扫荡。
郭卫民,伪东江绥靖督导专员,1942年—1945年,负责东江地区伪绥靖事务，协调伪军与日军行动，镇压惠州及周边抗日力量。
黄克明,伪惠阳保甲长,1941年—1945年,在惠州基层推行保甲制度，监视居民言行，向日军举报抗日人员，协助征发劳役。
周文甫,伪惠州新闻社社长,1940年—1944年,主办伪宣传报刊，为日军占领惠州进行舆论粉饰，宣扬“和平建国”，诋毁抗日力量。
