name,title,activity_period,notable_deeds
李群,伪博罗县维持会会长、伪博罗县县长,1938-1945,日军侵占博罗后出面组织伪维持会，后任伪博罗县县长，为日军征粮、拉夫、维持殖民统治秩序。
陈炯光,伪博罗县警察局长,1939-1945,在博罗沦陷区组建伪警察队伍，配合日军搜捕抗日人员、镇压民众反抗。
黄伯强,伪博罗县保安大队大队长,1940-1945,统率伪保安大队协助日军扫荡东江抗日根据地，参与清乡与封锁。
张友仁,伪惠阳县维持会副会长,1938-1941,在惠州城区协助日军建立维持会，负责摊派粮款、诱降地方士绅。
刘定叔,伪惠阳县县长,1941-1945,任伪惠阳县县长期间推行保甲连坐，配合日军对惠州周边乡村进行经济封锁与物资统制。
何联芳,伪东江绥靖军司令,1942-1945,收编土匪与溃兵组成伪军，在惠州、博罗、河源交界地带配合日军扫荡抗日游击队。
陈铁,伪广东绥靖公署惠州办事处主任,1943-1945,负责惠州地区伪军联络与情报搜集，协助日军诱捕抗日地下工作人员。
吕春荣,伪广东和平救国军第一师师长,1941-1945,率伪军在惠州、博罗一带配合日军作战，参与对东江纵队的围剿。
李辅群,伪广东绥靖军第二十师师长,1942-1945,在惠州及东江下游地区协助日军维持治安，强征民夫修筑工事。
郭卫民,伪博罗县教育局局长,1940-1945,推行奴化教育，强制学校使用日伪教材，组织师生参加亲日宣传。
王作尧,伪博罗县商会会长,1939-1945,为日军统制物资，强制商户缴纳“献金”，协助日军掠夺当地粮食与矿产。
陈一林,伪惠州维持会保甲长,1938-1945,在惠州城区担任保甲长，负责清查户口、举报抗日人员及家属。
