name,title,activity_period,notable_deeds
李群,伪惠阳县维持会会长,1938年-1940年前后,日军侵占惠州、惠阳期间出面组织伪维持会，协助日军维持占领秩序、征派物资与民夫，为地方伪政权头目之一。
翟宗汉,伪惠阳县县长,1940年前后-1945年,在日军扶植下出任伪惠阳县县长，主持伪县政，推行保甲、征粮、拉夫等事，配合日伪统治惠州、惠阳地区。
叶青,伪惠阳县警察局长/伪警头目,1940年前后-1945年,在惠州、惠阳地区充任伪警察头目，协助日军搜捕抗日人员、控制交通与户籍，镇压民众抗日活动。
陈炯明系附逆人员（陈觉民等）,伪政权参议/地方维持会骨干,1938年-1945年,惠州、惠阳一带部分地方士绅与旧军政人员在日军占领期间附逆，参与维持会、伪县政或伪军组织，为日军筹款、筹粮、招抚游杂武装。
吕春荣,伪广东治安维持会委员/伪军头目,1938年-1945年,广东沦陷后投靠日军，参与伪广东治安维持会及伪军活动，其势力与活动范围涉及东江、惠州一带，协助日军维持占领。
彭东原,伪广东治安维持会会长、伪广东省政府官员,1938年-1945年,广东沦陷后出任伪广东治安维持会会长等伪职，为日军在广东建立伪政权的重要人物，其伪政权体系覆盖包括惠州在内的广东多地。
陈耀祖,伪广东省政府主席,1940年-1944年,汪伪政权在广东的最高行政头目之一，主持伪广东省政，推行日军占领政策，其伪政权下辖包括惠州、惠阳在内的沦陷区。
李讴一,伪广东省政府官员/伪军将领,1940年-1945年,在汪伪广东政权和伪军中任职，参与协助日军控制广东沦陷区，包括东江、惠州地区的伪军警活动。
王英儒,伪东江地区维持会/伪政权人员,1938年-1945年,广东东江沦陷区附逆人员，参与惠州、惠阳周边伪维持会或伪基层政权，为日军征派物资、维持治安。
刘发如,伪军头目/地方武装附逆者,1938年-1945年,广东地方游杂武装头目之一，抗战期间一度投靠日伪，在惠州、东江一带配合日军行动，骚扰抗日根据地。
