name,title,activity_period,notable_deeds
陈耀寰,伪五华县维持会会长,1939-1940,日军侵占潮汕、威胁兴梅地区时，出面组织伪五华县维持会，为日军搜集情报、征派粮秣，并协助推行伪化统治。
李伯球,伪梅县维持会副会长,1939-1941,在梅县沦陷前后参与组织伪维持会，协助日军维持地方秩序、征发民夫与物资，并诱迫地方士绅附逆。
张资平,伪南京国民政府文教系统官员、汉奸文人,1938-1945,广东梅县人，抗战期间投靠汪伪政权，任伪职并发表附逆文章，为日军文化侵略张目，是广东籍著名汉奸文人之一。
古正平,伪广东治安维持会委员,1938-1940,广东梅县籍，广州沦陷后参与伪广东治安维持会，协助日军推行伪化统治，拉拢地方势力附逆。
黄启良,伪汕头市警察局督察长,1939-1943,在潮汕沦陷区任伪警察头目，配合日军镇压抗日群众，搜捕抗日人员，其活动范围覆盖潮梅地区。
林少梅,伪潮安县维持会会长,1939-1941,潮汕沦陷后组织伪维持会，为日军征粮、派夫、搜集情报，并协助日军向兴梅地区渗透。
刘志陆,伪广东和平建国军司令,1938-1940,广东梅县籍，抗战初期投靠日军，在广东沦陷区收编土匪、组织伪军，配合日军进攻抗日游击区。
陈炯明旧部某（陈演生）,伪广东绥靖军参谋,1939-1942,广东海丰籍，活动于东江、韩江流域，参与伪军组织与情报活动，与梅州地区抗日力量为敌。
吴文献,伪五华县保安队队长,1940-1943,在五华县境协助日军及伪政权维持治安，搜捕抗日游击队员，征派捐税，压迫当地民众。
曾其清,伪梅县警察所所长,1940-1944,在梅县伪警察系统任职，配合日军及伪政权清查户口、监视抗日分子，并参与经济封锁。
