name,title,activity_period,notable_deeds
陈觉民,汕头市伪市长、伪汕头市政府筹备处主任,1939-1945,日军侵占汕头后出面组织伪政权，任伪汕头市长，推行日伪统治，协助日军维持治安、征发物资。
李国梁,伪汕头市警察局局长,1939-1945,在汕头沦陷区充任伪警察头目，配合日军搜捕抗日人员，镇压民众反抗。
黄仲瑜,伪汕头市维持会会长,1939-1940,汕头沦陷初期组织维持会，为日军筹粮筹款、招募伪职人员，协助建立殖民秩序。
陈特向,伪潮汕自治会头目、伪军指挥官,1939-1945,在潮汕地区组织伪自治武装，配合日军对潮汕抗日根据地和游击区进行扫荡。
方少云,伪潮安县县长,1939-1945,潮安沦陷后出任伪县长，推行保甲连坐，为日军征调民夫、粮食，镇压抗日活动。
许统正,伪潮阳县县长,1941-1945,在潮阳沦陷区建立伪政权，协助日军清乡，迫害抗日家属和游击队员。
林少梅,伪澄海县县长,1939-1945,澄海沦陷后任伪县长，组织伪保安队，配合日军封锁韩江口，阻断抗日物资流通。
陈子岐,伪饶平县维持会会长,1939-1943,在饶平沿海地区组织维持会，为日军提供情报和物资，协助控制沿海交通线。
王少平,伪揭阳县县长,1944-1945,揭阳部分沦陷后出任伪县长，推行奴化教育，为日军征粮征兵。
李伯群,伪普宁县维持会会长,1944-1945,在普宁组织维持会，协助日军控制潮汕公路沿线，镇压当地抗日民众。
陈子彬,伪惠来县县长,1941-1945,惠来沦陷期间任伪县长，配合日军封锁海岸线，搜捕抗日游击队员。
林贤察,伪汕头市商会会长,1939-1945,在汕头沦陷区为日军筹款筹物，控制商会为伪政权服务，压迫商户。
陈焕章,伪汕头市教育会会长、伪市立中学校长,1939-1945,在汕头推行奴化教育，篡改教材，向学生灌输亲日思想，为伪政权培养顺民。
黄启明,伪潮汕日报社社长,1939-1945,主办伪《潮汕日报》，为日军侵略宣传，粉饰殖民统治，诋毁抗日力量。
陈友云,伪汕头市保甲长、伪坊长,1939-1945,在汕头基层推行保甲制度，监视居民，向日军举报抗日嫌疑人员，协助征发劳役。
张我东,伪广东治安维持会汕头分会头目,1939-1940,协助日军在汕头建立初期殖民统治机构，招募伪职人员，维持地方秩序。
李辅群,伪广东绥靖军潮汕地区指挥官,1941-1945,统率伪军配合日军对潮汕抗日根据地和游击区进行多次扫荡，残害抗日军民。
陈耀祖,伪广东省政府主席、伪汕头市政筹备处督导,1940-1944,作为伪广东省最高行政长官，推动汕头及潮汕地区伪政权建设，协助日军殖民统治。
汪精卫,伪南京国民政府主席、伪广东省政府名誉主席,1940-1944,建立全国性伪政权，其伪广东省政府直接管辖汕头等沦陷区，推行亲日卖国政策。
陈公博,伪南京国民政府立法院长、伪广东省长,1940-1945,曾任伪广东省长，对汕头等广东沦陷区推行伪化统治，协助日军征发物资和兵员。
