name,title,activity_period,notable_deeds
李辅群,伪广东绥靖军第二十师师长、伪东莞县县长,1938-1945,广东著名汉奸，投靠日军后组织伪军，在珠江三角洲一带配合日军扫荡，镇压抗日武装，其势力范围曾扩展至清远、花县、三水等地，对清远地区抗日活动构成威胁。
郭卫民,伪清远县维持会会长,1939-1941,日军侵占清远期间，出面组织伪维持会，为日军征粮、拉夫、搜集情报，协助日军维持清城及周边地区的殖民统治。
陈镜波,伪清远县警察局局长,1940-1944,在清城地区担任伪警察头目，配合日军搜捕抗日人士，镇压民众反抗，推行保甲连坐制度，为日伪政权维持地方治安。
刘发如,伪广东绥靖军第三师师长,1939-1945,广东汉奸武装头目，活动于北江流域，包括清远、英德、佛冈一带，配合日军进攻抗日根据地，残害百姓，掠夺物资。
李朗鸡,伪广东绥靖军第四师师长,1938-1945,广东著名汉奸，率伪军在广州、佛山、清远等地配合日军作战，参与扫荡抗日游击队，对清远地区抗日力量造成较大破坏。
王英儒,伪清远县教育局局长,1940-1943,在清城地区推行奴化教育，强制学校使用日伪教材，宣传“大东亚共荣圈”，毒害青少年，为日伪殖民统治服务。
张伯荫,伪清远县商会会长,1939-1944,在清城地区为日军筹款筹粮，强制商户缴纳“治安费”，协助日军掠夺地方经济资源，压榨民众。
潘伯良,伪清远县保甲长,1941-1945,在清城周边乡村担任伪保甲长，为日军征发民夫、收集情报，监视村民行动，协助日伪维持基层统治。
何丽生,伪广东治安维持会委员,1938-1940,广东伪政权早期头目之一，参与组织伪维持会，其活动范围覆盖广州及北江地区，包括清远一带，为日军稳定占领区秩序。
吕春荣,伪广东绥靖军第一师师长,1939-1945,广东汉奸武装头目，率部在北江流域配合日军作战，曾参与对清远、英德等地抗日游击队的扫荡。
