name,title,activity_period,notable_deeds
李辅群,伪广东绥靖军暂编第二十师师长、伪东莞县县长,1938-1945,广东著名汉奸，投靠日军后组织伪军，在珠江三角洲及粤北一带配合日军扫荡，镇压抗日武装，搜刮民财。其势力范围曾扩展至清远、英德等粤北地区，对连南周边亦有影响。
郭卫民,伪清远县维持会会长、伪清远县县长,1939-1945,日军侵占清远期间，出面组织伪维持会，后任伪县长，为日军征粮拉夫、搜集情报，协助日军维持占领区秩序，镇压当地抗日活动。
陈耀南,伪连县维持会会长,1940-1945,在连县（今连州，毗邻连南）组织伪维持会，协助日军及伪政权控制粤北山区，为日军提供物资和情报，压迫当地民众。
黄启良,伪阳山县维持会会长,1940-1945,在阳山（邻近连南）组织伪维持会，配合日军对粤北山区的扫荡，为日军征发民夫、粮食，协助建立伪保甲制度。
梁永泰,伪英德县维持会会长、伪英德县县长,1939-1945,在英德（清远辖地）组织伪政权，为日军提供粤北情报，协助日军封锁抗日根据地，搜刮当地资源。
张伯荫,伪广东省政府委员、伪广东警务处处长,1940-1945,广东伪政权高层汉奸，参与制定伪广东治安政策，指挥伪警察配合日军在粤北清远、连南一带清乡，镇压抗日民众。
王英儒,伪广东绥靖军团长,1941-1945,率伪军在清远、连南、连山一带配合日军扫荡，袭击抗日游击队，强征壮丁，残害百姓。
刘发如,伪清远县保安大队大队长,1940-1945,组织伪保安队，在清远及连南周边地区为日军维持治安，搜捕抗日人士，勒索民众财物。
何丽生,伪连南县维持会副会长,1941-1945,在连南本地组织伪维持会，协助日军管理瑶汉民众，征发物资，为日军带路扫荡山区抗日力量。
陈镜波,伪广东省教育厅督学、伪清远县教育科长,1940-1945,在清远推行奴化教育，篡改教材，宣传“大东亚共荣”，强迫学校师生参加亲日活动，为伪政权培养顺民。
