name,title,activity_period,notable_deeds
陈学谈,伪广州湾维持会会长、伪广州湾特别区公署署长,1943-1945,广州湾（今湛江）沦陷后投靠日军，组织伪维持会，协助日军维持殖民统治，推行伪化教育，为日军征发物资与劳工。
符永茂,伪广州湾警察局局长,1943-1945,在广州湾协助日军镇压抗日活动，搜捕抗日人士，配合日军推行保甲连坐制度。
陈卓才,伪廉江县维持会会长,1944-1945,廉江沦陷期间组织伪维持会，为日军征粮征夫，协助日军维持地方治安，镇压抗日群众。
黄鏗,伪广东治安维持会委员、伪广东省政府委员,1938-1945,在广州投靠日军，参与伪广东省政权，协助日军推行殖民统治，其活动范围覆盖广东南路包括湛江地区。
陈耀祖,伪广东省政府主席,1940-1944,汪伪政权广东省最高头目，推行日军殖民政策，其伪政权管辖范围包括湛江、廉江等地。
李讴一,伪广东绥靖军总司令,1940-1945,统率伪军配合日军在广东各地包括南路湛江地区进行清乡扫荡，镇压抗日武装。
郭卫民,伪广州湾商会会长,1943-1945,在广州湾协助日军控制经济，为日军筹集物资，配合日军经济掠夺政策。
吴发,伪遂溪县维持会会长,1944-1945,遂溪沦陷后组织伪维持会，为日军征粮征夫，协助日军维持统治，活动范围邻近廉江。
林绳武,伪海康县维持会会长,1944-1945,海康沦陷期间投靠日军，组织伪维持会，协助日军征发物资与劳工。
陈元英,伪徐闻县维持会会长,1944-1945,徐闻沦陷后组织伪维持会，为日军征粮征夫，协助日军维持地方秩序。
