name,title,activity_period,notable_deeds
符永茂,伪广州湾维持会会长、伪广州湾特别区公署署长,1943年—1945年,日军占领广州湾后出面组织维持会，充任伪政权头目，协助日军推行殖民统治、征粮征税、维持治安。
陈学谈,广州湾商会头面人物、日占时期附逆合作者,1943年—1945年,广州湾沦陷后与日军及伪政权合作，参与维持地方秩序和经济摊派，被视为当地附逆代表人物之一。
林绳武,伪广州湾特别区公署职员,1943年—1945年,在日军控制下的广州湾伪政权中任职，协助推行伪政令和基层管控。
陈卓才,伪广州湾警察局头目,1943年—1945年,充任日占广州湾伪警察头目，配合日军搜捕抗日人员、镇压民众反抗。
李月恒,伪广州湾维持会委员,1943年—1945年,参与组织广州湾维持会，为日军筹款筹粮、维持占领秩序。
陈元英,伪雷州维持会会长,1943年—1945年,雷州半岛沦陷后组织伪维持会，协助日军统治雷州及邻近地区。
符麟瑞,伪海康县维持会会长,1943年—1945年,在海康县为日军组织伪维持会，征发民夫、物资，配合日伪统治。
吴发,伪遂溪县维持会头目,1943年—1945年,在遂溪一带为日军组织维持会，协助控制基层、搜刮物资。
陈特,伪徐闻县维持会会长,1943年—1945年,徐闻沦陷后出面组织伪维持会，为日军征粮征夫、维持地方秩序。
黄强,伪广东治安维持会头目之一,1938年—1940年,日军侵占广州后参与伪广东治安维持会，协助日军稳定广东占领区统治。
彭东原,伪广东治安维持会会长、伪广东省政府主席,1938年—1945年,广东沦陷后投敌，历任伪广东治安维持会会长、伪广东省政府主席，是广东伪政权首要汉奸之一。
吕春荣,伪广东省政府委员、伪广州市市长,1938年—1945年,在广东伪政权中任要职，协助日军推行殖民统治，镇压抗日活动。
汪屺,伪广东省政府委员、伪警务处处长,1939年—1945年,在广东伪政权中负责警务，配合日军搜捕抗日人士、维持占领区治安。
李讴一,伪广东绥靖军头目,1939年—1945年,组织伪军配合日军作战，在广东占领区参与清乡、扫荡抗日力量。
王英儒,伪广东治安维持会委员,1938年—1940年,参与广东伪维持会活动，为日军筹款筹粮、协助建立伪秩序。
陈耀祖,伪广东省政府委员,1940年—1945年,在广东伪政权中任职，协助日军推行经济统制和思想控制。
周应湘,伪广东教育厅官员,1940年—1945年,在广东伪政权教育部门任职，推行奴化教育，宣传所谓“大东亚共荣”。
陈良士,伪广东宣传机构头目,1940年—1945年,在广东占领区从事亲日宣传，为日军殖民统治制造舆论。
郭卫民,伪广东经济部门官员,1940年—1945年,协助日军在广东占领区实施物资统制、掠夺经济资源。
李辅群,伪广东地方武装头目,1939年—1945年,组织伪军配合日军在广东各地清乡、扫荡，残害抗日军民。
