name,title,activity_period,notable_deeds
陈友云,伪潮安县维持会会长、伪潮安县政府县长,1939-1945,日军侵占潮安后出面组织伪维持会，后任伪潮安县政府县长，协助日军征粮、征夫、推行伪化统治。
李仰曾,伪潮安县政府秘书、伪潮安县警察局局长,1939-1945,在伪潮安县政权中任职，参与伪警政建设，协助日军镇压抗日民众、维持占领区秩序。
许鹤卿,伪潮安县商会会长,1939-1945,在日军占领潮安期间出面组织伪商会，为日军筹款筹粮，协助控制占领区经济。
陈焕章,伪汕头市维持会会长、伪汕头市政府市长,1939-1945,汕头沦陷后组织伪维持会，后任伪汕头市长，配合日军在潮汕地区的殖民统治。
林修雍,伪汕头市警察局局长,1939-1945,在汕头伪政权中掌管警察力量，协助日军搜捕抗日人士、维持占领区治安。
方瑞麟,伪潮汕地区维持会联合会代表、伪汕头市商会会长,1939-1945,在潮汕沦陷区联络各地伪维持会，为日军筹款筹粮，协助经济掠夺。
陈伟器,伪潮阳县维持会会长、伪潮阳县政府县长,1941-1945,潮阳沦陷后出任伪职，协助日军征粮征夫、推行伪化教育。
黄仲瑜,伪揭阳县政府县长,1944-1945,在揭阳部分沦陷区出任伪县长，配合日军维持占领区统治。
陈子岐,伪澄海县维持会会长,1939-1945,澄海沦陷后组织伪维持会，为日军征粮征夫，协助控制地方。
王少文,伪饶平县政府县长,1944-1945,在饶平部分沦陷区出任伪县长，协助日军推行伪化统治。
陈特向,伪潮安县政府教育科科长,1939-1945,在潮安沦陷区推行奴化教育，篡改教材，宣传“大东亚共荣圈”。
李振球,伪潮安县保安大队大队长,1939-1945,统领伪保安大队，配合日军扫荡抗日游击区，镇压民众抗日活动。
陈耀南,伪潮汕地区绥靖军司令,1942-1945,统率伪绥靖军配合日军在潮汕地区进行清乡、扫荡，残害抗日军民。
刘志陆,伪广东省政府委员、伪潮汕地区行政督察专员,1940-1945,在伪广东省政权中负责潮汕地区行政，协助日军推行殖民统治、经济掠夺。
陈春圃,伪广东省政府主席、伪广州绥靖公署主任,1940-1945,汪伪政权在广东的最高头目之一，统管包括潮汕在内的广东沦陷区伪政，协助日军统治。
汪精卫,伪国民政府主席、伪行政院院长,1940-1944,建立汪伪政权，其伪广东省政府下辖潮汕沦陷区，对包括潮州在内的广东伪政权负有最高责任。
陈公博,伪国民政府代主席、伪行政院院长,1944-1945,汪精卫死后继任伪政权首脑，继续维持包括潮汕在内的沦陷区伪统治。
周佛海,伪国民政府财政部长、伪上海市长,1940-1945,汪伪政权核心人物，其财政体系覆盖潮汕沦陷区，协助日军经济掠夺。
褚民谊,伪国民政府外交部长、伪广东省长,1940-1945,曾任伪广东省长，对广东包括潮汕沦陷区的伪政权运作负有责任。
林柏生,伪国民政府宣传部长、伪安徽省长,1940-1945,汪伪宣传系统负责人，在潮汕沦陷区推行亲日宣传与奴化教育。
