name,title,activity_period,notable_deeds
陈耀平,伪四会县维持会会长,1938-1940,日军侵占四会后出面组织伪维持会，协助日军征粮、拉夫、维持治安，镇压抗日群众。
李伯球,伪四会县县长,1940-1944,在日伪控制下出任伪四会县县长，推行伪政令，配合日军清乡、征粮，迫害抗日人员。
黄启良,伪四会县警察局局长,1941-1944,掌控伪警察武装，搜捕抗日志士，协助日军维持占领区秩序，勒索民众。
陈斗南,伪广东绥靖军第四团团长,1942-1945,率伪军配合日军在四会、广宁、高要一带扫荡抗日游击队，烧杀抢掠。
梁永燊,伪高要县维持会会长,1938-1940,在高要组织伪维持会，为日军筹粮筹款，诱降地方士绅，协助建立伪政权。
周少雄,伪肇庆维持会会长,1938-1941,肇庆沦陷后出面组织伪维持会，协助日军管理城区，征发民夫，压制抗日活动。
吕春荣,伪广东和平救国军总司令,1939-1945,在广东沦陷区收编土匪、散兵组成伪军，配合日军进攻西江抗日根据地，活动范围覆盖肇庆、四会。
李辅群,伪广东绥靖军师长,1940-1945,率伪军在珠江三角洲及西江流域配合日军作战，参与对四会、肇庆一带的扫荡和清乡。
郭卫民,伪广东省政府委员,1940-1945,在伪广东省政府任职，推行日军殖民政策，协助征粮征兵，镇压广东各地抗日力量。
陈公博,伪广东省政府主席,1940-1945,汪伪政权核心人物，任伪广东省政府主席期间推行奴化教育、经济掠夺，配合日军统治广东包括肇庆地区。
王英儒,伪四会县教育科科长,1941-1944,在四会推行奴化教育，强制学校使用伪教材，宣传“大东亚共荣”，毒害青少年。
刘发如,伪四会县保安大队大队长,1942-1945,统领伪保安队，配合日军围剿四会抗日游击队，捕杀抗日群众，抢掠民财。
