name,title,activity_period,notable_deeds
陈耀枢,伪阳江县维持会会长、伪阳江县政府县长,1939-1945,抗战期间在阳江地区附逆，参与组织伪维持会，后任伪阳江县政府县长，协助日军维持占领区秩序、征粮派款。
林少梅,伪阳江县警察局头目,1940-1945,在阳江沦陷期间投靠日伪，掌控伪警察力量，配合日军搜捕抗日人员、镇压民众。
黄伯强,伪阳江自卫军司令,1941-1945,组织伪军配合日军对阳江及阳东一带进行扫荡，袭击抗日游击队，强征民夫物资。
李伯群,伪广东治安维持会阳江分会委员,1939-1943,参与阳江伪维持会活动，协助日军推行保甲制度，监视并举报抗日分子。
陈子良,伪阳江县教育科科长,1940-1945,在日伪统治下推行奴化教育，篡改教材，向学生灌输亲日思想，为伪政权培养顺民。
张瑞贵,伪阳江商会会长,1940-1945,利用商会身份为日军筹集物资、军饷，协助日伪对阳江经济进行掠夺和控制。
刘发如,伪广东绥靖军阳江地区头目,1942-1945,率伪军配合日军在阳江、阳东、阳春交界地区进行清乡，烧杀抢掠，残害抗日群众。
王英儒,伪阳江县保甲长,1941-1945,在阳东地区担任伪保甲长，为日军征派劳役、粮食，监视村民行动，协助抓捕抗日人员。
陈文波,伪阳江宣传队队长,1940-1944,组织亲日宣传，散布“大东亚共荣”言论，为日军侵略行为辩护，麻痹民众抗日意志。
黄志强,伪阳江县政府财政科科长,1941-1945,负责伪政权财政，为日军搜刮民财，征收苛捐杂税，支持伪军和伪政权的运转。
