name,title,activity_period,notable_deeds
李讴一,伪广东治安维持会会长、伪广东省政府主席,1938-1945,广东沦陷后投敌，历任伪广东治安维持会会长、伪广东省政府主席等职，协助日军维持广东沦陷区统治，推行伪化政策。
陈耀祖,伪广东省政府主席,1940-1944,汪伪政权广东省政府主席，在广东沦陷区推行汪伪政令，配合日军进行殖民统治和经济掠夺。
褚民谊,汪伪政权广东省政府主席,1944-1945,汪伪政权要员，后任伪广东省政府主席，在广东沦陷区继续推行附逆统治，抗战胜利后被处决。
林柏生,汪伪政权宣传部长、伪广东省政府委员,1938-1945,汪伪政权核心成员之一，参与伪政权宣传与广东地区伪化活动，抗战胜利后被处决。
王英儒,伪阳江维持会会长,1939-1945,阳江沦陷期间出面组织伪维持会，协助日军征粮、派夫、维持地方秩序，为日军侵扰阳江地区提供支持。
陈维周,伪阳江县政府县长,1940-1945,在日军控制阳江期间出任伪县长，推行伪政令，协助日军对阳江及周边阳春等地的控制与掠夺。
黄启良,伪阳春维持会会长,1940-1945,阳春地区沦陷或受日军威胁期间，组织伪维持会，为日军筹粮、派款、拉夫，协助维持日伪统治。
刘发如,伪军头目、阳江地区伪联防队长,1940-1945,在阳江一带纠集武装投靠日军，任伪联防队长等职，配合日军扫荡抗日游击队，残害当地民众。
李辅群,伪广东绥靖军头目,1939-1945,广东沦陷区伪军头目之一，活动于珠江三角洲及粤西部分地区，配合日军维持治安、清乡扫荡。
彭济华,伪广东警务处官员,1940-1945,在伪广东省警务系统任职，参与沦陷区伪警察事务，协助日军镇压抗日活动，其影响范围涉及粤西包括阳江地区。
郭卫民,伪阳江警察局长,1941-1945,出任伪阳江警察局长，带领伪警察配合日军搜查、逮捕抗日人员，维持日伪在阳江的统治秩序。
梁永元,伪阳春县保甲长、维持会委员,1941-1945,在阳春基层担任伪保甲长并参与维持会，为日军征粮派款、登记户口、监视民众，协助日伪控制乡村。
