name,title,activity_period,notable_deeds
李辅群,伪广东治安维持会委员、伪番禺县县长,1938-1945,广东沦陷后投敌，参与组织伪维持会，后任伪番禺县县长，协助日军征粮、拉夫、清乡。
陈耀祖,伪广东省政府主席,1940-1944,汪伪政权广东省最高头目，推行日军殖民统治，配合“清乡”与物资统制。
陈春圃,伪广东省政府委员兼建设厅长、伪广州市长,1940-1945,汪伪广东省府核心成员，参与经济掠夺与市政控制，协助日军维持占领秩序。
汪屺,伪广东省政府委员、伪警务处长,1940-1945,掌管伪广东警察系统，镇压抗日活动，搜捕抗日人员。
王英儒,伪广东省政府委员、伪民政厅长,1940-1945,参与伪政权民政与保甲控制，推行日军统治政策。
周应湘,伪广东省政府委员、伪财政厅长,1940-1945,负责伪广东财政搜刮，为日军提供物资与经费支持。
李讴一,伪广东绥靖军总司令,1940-1945,统率伪军配合日军进攻抗日根据地，进行清乡与扫荡。
吕春荣,伪广东绥靖军副总司令,1940-1945,协助李讴一指挥伪军，参与对广东抗日游击区的军事行动。
张焯堃,伪广东江防舰队司令,1940-1945,率伪海军配合日军封锁广东沿海与内河，拦截抗日物资。
郭卫民,伪韶关维持会会长,1938-1945,韶关地区伪维持会头目，协助日军维持地方秩序、征发民夫与物资。
陈仲平,伪曲江县县长,1938-1945,曲江沦陷区伪县长，配合日军征粮、拉夫，推行保甲连坐。
刘东生,伪韶关警察局长,1938-1945,控制韶关伪警察，搜捕抗日分子，镇压民众反抗。
黄启光,伪清远县维持会会长,1938-1945,清远地区伪维持会负责人，为日军筹粮筹款，协助清乡。
朱念慈,伪英德县县长,1938-1945,英德沦陷区伪县长，配合日军统治，压制抗日活动。
李朗鸡,伪佛冈县维持会会长,1938-1945,佛冈地区伪维持会头目，协助日军征发物资、维持治安。
张伯荫,伪广东省教育厅长,1940-1945,推行奴化教育，篡改教材，宣传“大东亚共荣圈”。
林汝珩,伪广东大学校长,1940-1945,在广东沦陷区主持伪高等教育，进行亲日文化宣传。
陈廉伯,伪广东商会会长,1938-1945,组织伪商会为日军筹款筹物，协助物资统制与经济掠夺。
李荫南,伪广东合作事业处处长,1940-1945,利用伪合作社系统掠夺农产品，配合日军经济封锁。
冯焯勋,伪韶关商会会长,1938-1945,韶关伪商会负责人，为日军筹集物资，协助维持占领区经济秩序。
