name,title,activity_period,notable_deeds
李辅群,伪广东绥靖军第二十师师长、伪东莞县县长,1938-1945,广东著名汉奸，投靠日军后组织伪军，在珠江三角洲及粤北一带配合日军扫荡，曾任伪广东绥靖军第二十师师长，后兼伪东莞县县长，对广东抗日力量造成较大破坏。
郭卫民,伪广东治安维持会会长、伪广东省政府委员,1938-1945,广州沦陷后出面组织伪广东治安维持会，后任伪广东省政府委员，协助日军维持占领区统治，是广东伪政权核心人物之一。
陈耀祖,伪广东省政府主席,1940-1944,汪伪政权任命为伪广东省政府主席，在广东推行伪化统治，配合日军征粮、征丁，镇压抗日活动。
汪屺,伪广东省政府委员、伪广州市市长,1939-1945,广东伪政权重要成员，曾任伪广州市市长，协助日军管理广州及周边地区，推行奴化教育。
李讴一,伪广东绥靖军总司令,1940-1945,汪伪政权任命为伪广东绥靖军总司令，统率伪军配合日军在广东各地扫荡，包括粤北韶关一带。
王英儒,伪韶关维持会会长,1944-1945,1944年日军进犯粤北韶关期间，出面组织伪韶关维持会，协助日军维持地方秩序、征调民夫物资。
张焯,伪曲江县维持会会长,1944-1945,韶关曲江沦陷期间，组织伪曲江县维持会，为日军征集粮食、劳工，配合伪政权推行保甲制度。
刘东,伪浈江区保甲长,1944-1945,韶关浈江地区沦陷后，担任伪保甲长，协助日军登记户口、征收物资，监视当地居民抗日活动。
陈任梁,伪广东省教育厅厅长,1940-1945,在伪广东省政府任职期间，推行奴化教育，篡改教材，向广东沦陷区学生灌输亲日思想。
周应湘,伪广东经济局局长,1941-1945,负责广东沦陷区经济统制，为日军掠夺粮食、矿产等资源，强制推行伪币，破坏广东经济。
