name,title,activity_period,notable_deeds
张君度,伪南宁维持会会长,1939年11月至1940年10月,日军第一次侵占南宁后，出面组织伪南宁维持会，协助日军维持占领秩序、征发民夫与物资。
黄飞,伪南宁维持会副会长,1939年11月至1940年10月,参与伪南宁维持会事务，协助日军推行保甲、征粮和宣传‘中日亲善’。
李耀林,伪南宁警察局局长,1939年冬至1940年秋,在日军占领南宁期间出任伪警察头目，配合日军搜捕抗日人员、维持城区治安。
陈日葵,伪广西维持会联合会指导官,1939年至1940年,桂南会战期间依附日军，参与组织广西南部伪维持会网络，为日军提供情报与后勤支持。
王桂堂,伪南宁商会会长,1939年至1940年,日军占领南宁后出面组织伪商会，为日军筹款、摊派物资，并协助控制粮食流通。
刘仲平,伪南宁教育会干事,1939年至1940年,在占领区推行奴化教育，协助日军改编教材、组织‘新民会’式宣传。
黄仲庵,伪邕宁县知事,1939年至1940年,日军侵占邕宁后出任伪县知事，负责征粮、征夫和推行保甲连坐。
雷沛鸿,伪广西省维持会筹备委员（未就任，后被日方利用名义）,1939年,日方曾企图拉拢其出面组织伪政权，其未实际附逆，但日伪曾盗用其名义进行宣传。
苏希洵,伪广西省府参议（附逆嫌疑）,1939年至1940年,桂南沦陷期间与日伪有接触，被抗日方面列为附逆嫌疑人员。
黄崑山,伪南宁自卫团团长,1939年至1940年,组织伪自卫团配合日军扫荡南宁周边乡村，搜捕抗日游击队员。
陈文,伪南宁保甲长,1939年至1940年,在南宁城区推行保甲制度，协助日军清查户口、举报抗日人员。
梁耀南,伪邕宁维持会会长,1939年至1940年,在邕宁组织维持会，为日军征发粮食、民夫，并参与建立伪基层政权。
黄梦熊,伪广西绥靖公署参议（附逆）,1939年至1940年,桂南会战期间投靠日军，参与策划伪政权组建，后随日军撤退。
李品仙,伪安徽省政府主席（非广西本地，但与桂系有关联）,1938年至1945年,桂系将领，抗战期间在安徽与日伪有秘密接触，被中共方面指责为‘曲线救国’代表之一。
张淦,伪军第三方面军副总司令（桂系背景）,1943年至1945年,原桂系将领，后投靠汪伪政权，任伪军高级头目，在华中地区配合日军作战。
黄自强,伪南宁青年团团长,1939年至1940年,组织伪青年团，协助日军进行反共宣传和情报搜集。
韦贽唐,伪广西省宣传处干事,1939年至1940年,在日伪占领区从事亲日宣传，编辑发行伪报纸，鼓吹‘大东亚共荣圈’。
黄公健,伪南宁税务局局长,1939年至1940年,为日军征收苛捐杂税，盘剥占领区民众，支持日军‘以战养战’。
陈雄,伪南宁码头工会会长,1939年至1940年,控制南宁码头工人，为日军装卸军用物资，协助镇压工人反抗。
刘志忠,伪邕宁警察所所长,1939年至1940年,在邕宁地区配合日军搜捕抗日分子，实施白色恐怖。
