name,title,activity_period,notable_deeds
田次廉,伪南宁维持会会长、伪南宁市市长,1939年-1940年；1944年-1945年,日军第一次侵占南宁期间，出面组织伪南宁维持会并任会长，后任伪南宁市市长，为日军筹粮筹款、维持殖民统治秩序；1944年日军第二次侵占南宁时再次附逆，参与伪政权活动。
黄飞,伪南宁维持会副会长,1939年-1940年,日军侵占南宁期间，与田次廉等组织伪南宁维持会，任副会长，协助日军推行保甲、征发民夫物资，镇压抗日活动。
李耀林,伪南宁警察局局长,1939年-1940年,在日军占领南宁期间出任伪警察局局长，统率伪警察配合日军搜捕抗日人员、维持占领区治安，迫害民众。
陈日初,伪广西省维持会会长,1939年-1940年,日军侵占广西部分地区期间，出面组织伪广西省维持会并任会长，为日军在广西的殖民统治服务，协助征发物资、宣传“东亚共荣”。
张君度,伪广东治安维持会广西分会头目,1938年-1940年,在日军支持下于广西南部地区活动，组织伪维持会，配合日军对南宁及周边地区的控制，进行反共宣传和物资掠夺。
刘志忠,伪南宁县县长,1939年-1940年,日军占领南宁后，出任伪南宁县县长，推行伪政令，为日军征粮征夫，协助维持占领区基层统治。
黄仲庵,伪邕宁县维持会会长,1939年-1940年,在日军侵占邕宁（今南宁良庆区一带属当时邕宁县）期间，组织伪维持会并任会长，协助日军管理地方、征发物资、压制抗日力量。
雷沛鸿,伪广西省教育厅顾问（附逆文化教育界人士）,1940年-1944年,在日军占领广西部分地区期间，接受伪职，参与伪教育机构活动，推行奴化教育，为日军殖民统治培养顺民。
黄旭初,伪广西省合作事业管理处处长（附逆经济界人士）,1939年-1940年,日军侵占南宁期间，与日伪合作，参与伪经济机构，为日军掠夺广西物资、控制占领区经济提供协助。
韦云淞,伪南宁商会会长（附逆商界人士）,1939年-1940年,在日军占领南宁期间，出面组织伪商会，为日军筹款筹粮，协助维持占领区商业秩序，压迫爱国商人。
