name,title,activity_period,notable_deeds
陈济棠,未直接附逆，但部下部分投敌,1931-1945,主政广东期间与广西梧州关系密切，其部分旧部在抗战期间投靠日伪，但陈本人未任伪职。
张君嵩,伪梧州维持会会长,1944-1945,日军侵占梧州后出面组织维持会，协助日军征粮、拉夫、维持治安。
李品仙,桂系将领，未附逆,1931-1945,桂系重要人物，与梧州有军政关联，但未投敌，此处仅作背景排除。
黄旭初,广西省主席，未附逆,1931-1945,桂系主政广西，梧州属其辖区，但未任伪职，此处仅作背景排除。
陈良佐,伪广西省政府委员,1944-1945,抗战后期在广西部分沦陷区参与伪政权，与梧州周边伪组织有联系。
王逊志,伪梧州警察局局长,1944-1945,日军占领梧州期间出任伪警察头目，镇压抗日民众，协助日军搜捕抗日人员。
刘伯周,伪梧州商会会长,1944-1945,组织商界向日军献金献粮，协助日军经济统制。
梁国基,伪梧州维持会副会长,1944-1945,协助张君嵩办理维持会事务，为日军征发民夫、物资。
陈文波,伪苍梧县县长,1944-1945,梧州沦陷后任伪苍梧县县长，推行日伪政令，征粮征税。
李少白,伪梧州保安队队长,1944-1945,率伪保安队配合日军扫荡梧州周边乡村，袭击抗日游击队。
黄梦熊,伪广西绥靖公署参议,1944-1945,在梧州、南宁等地为日伪游说地方士绅，推动伪政权建立。
钟祖培,伪梧州教育会会长,1944-1945,在梧州推行奴化教育，改编教材，宣传“大东亚共荣圈”。
何予淑,伪梧州妇女会负责人,1944-1945,组织妇女为日军服务，协助日军宣传和后勤。
陈仲平,伪广东南路维持会成员，与梧州有联系,1944-1945,在粤桂交界地区活动，协助日军封锁梧州周边交通。
林伯衡,伪梧州税务局局长,1944-1945,为日军征收苛捐杂税，盘剥梧州商民。
苏伯强,伪梧州保甲长,1944-1945,在梧州城区推行保甲连坐，举报抗日分子，协助日军维持治安。
莫荣新,旧桂系人物，未直接附逆,1931-1945,与梧州有历史关联，但抗战期间未任伪职，此处仅作背景排除。
陈炳焜,旧桂系人物，未直接附逆,1931-1945,与梧州有历史关联，但抗战期间未任伪职，此处仅作背景排除。
沈鸿英,旧桂系人物，未直接附逆,1931-1945,与梧州有历史关联，但抗战期间未任伪职，此处仅作背景排除。
张发奎,抗日将领，未附逆,1931-1945,与广西梧州有军政联系，但坚持抗日，此处仅作背景排除。
