name,title,activity_period,notable_deeds
陈济棠,未直接附逆，但部下多投敌；其侄陈汉光等与日伪有联系,1937-1945,陈济棠本人未任伪职，但抗战期间其部分旧部在广西、广东投靠日伪，间接影响梧州地区。
张君嵩,伪梧州维持会会长（一说）,1944-1945,1944年日军侵占梧州后，出面组织伪维持会，协助日军征粮、拉夫、维持治安。
李品仙,桂系将领，未附逆；但其部下有投伪者,1937-1945,李品仙本人坚持抗战，但桂系内部在梧州地区有少数下级军官和士绅投敌。
黄旭初,广西省主席，未附逆,1931-1945,黄旭初主政广西期间坚持抗日，但梧州沦陷后地方维持会多由当地士绅出面组织。
陈雄,伪苍梧县维持会会长（待考）,1944-1945,日军侵占苍梧期间，出面组织伪维持会，为日军筹粮、派夫、维持地方秩序。
刘志忠,伪梧州警察局巡官（待考）,1944-1945,梧州沦陷后投靠日军，担任伪警察巡官，协助日军搜捕抗日人员。
梁国基,伪梧州商会会长（待考）,1944-1945,日军占领梧州后，以商会名义为日军筹集物资，协助推行伪币。
何予淑,伪梧州女子中学校长（待考）,1944-1945,梧州沦陷期间，受日军指使在伪教育机构任职，推行奴化教育。
陈文,伪广西省维持会委员（待考）,1944-1945,在广西沦陷区参与伪政权，协助日军在梧州、苍梧一带征粮。
黄某（名不详）,伪苍梧县保安队队长（待考）,1944-1945,组织伪保安队配合日军扫荡苍梧乡村，抓捕抗日游击队员。
