name,title,activity_period,notable_deeds
陈济桓,伪广西省维持会会长（未就任）,1939年,据部分地方文史资料提及，日军入侵广西期间曾拟拉拢其出面组织伪维持会，但其未实际就任，相关记载存疑，需谨慎使用。
李品仙,桂系将领，抗战后期与日伪有秘密接触,1944-1945年,抗战后期在广西地区与日伪方面有秘密接触和妥协活动，但未公开投敌，属于复杂历史人物，地方史料中对其附逆嫌疑有争议。
张君度,伪玉林县维持会会长,1944-1945年,日军第二次入侵广西期间，在玉林地区出面组织伪维持会，协助日军征粮、拉夫，维持地方伪秩序。
陈伯衡,伪容县维持会会长,1944-1945年,日军侵占容县期间，出面组织伪维持会，为日军筹粮、派夫，协助维持占领区秩序。
黄旭初,伪广西省主席（未就任，仅日方拟任）,1944年,日军入侵广西时曾试图拉拢其出任伪职，但其未就任，相关记载多见于日方档案，实际未附逆。
韦云淞,桂系将领，桂林失守后被俘与日方有接触,1944-1945年,桂林保卫战失败后被俘，在日方控制下有过妥协性接触，但未正式出任伪职，历史评价存在争议。
刘伯群,伪梧州维持会会长,1944-1945年,日军占领梧州期间组织伪维持会，协助日军统治，梧州为玉林邻近地区，其活动范围覆盖桂东南。
梁朝玑,伪桂平维持会会长,1944-1945年,在桂平地区组织伪维持会，协助日军征粮派夫，活动范围与玉林地区相邻。
钟祖培,伪平南维持会会长,1944-1945年,在平南地区组织伪维持会，为日军服务，平南与容县、玉林同属桂东南地区。
莫遗贤,伪北流维持会会长,1944-1945年,在北流地区组织伪维持会，协助日军维持占领秩序，北流与容县、玉林相邻。
陈锦章,伪陆川维持会会长,1944-1945年,在陆川地区组织伪维持会，为日军筹粮派夫，陆川与玉林、容县同属玉林地区。
李绍雄,伪博白维持会会长,1944-1945年,在博白地区组织伪维持会，协助日军统治，博白与玉林、容县同属玉林地区。
黄梦年,伪兴业维持会会长,1944-1945年,在兴业地区组织伪维持会，为日军服务，兴业与玉林、容县相邻。
罗绍徽,伪贵县维持会会长,1944-1945年,在贵县地区组织伪维持会，协助日军征粮派夫，贵县与玉林地区相邻。
梁丕功,伪南宁维持会会长,1944-1945年,在南宁地区组织伪维持会，为日军服务，属于广西范围内有明确记载的伪维持会头目。
卢象荣,伪柳州维持会会长,1944-1945年,在柳州地区组织伪维持会，协助日军统治，属于广西范围内有明确记载的伪维持会头目。
白堃,伪桂林维持会会长,1944-1945年,在桂林地区组织伪维持会，协助日军维持占领秩序，属于广西范围内有明确记载的伪维持会头目。
