name,title,activity_period,notable_deeds
张瑞贵,伪钦县维持会会长,1939-1940,日军第一次侵占钦州期间，出面组织伪钦县维持会，协助日军征粮、拉夫、维持占领区秩序。
黄文楷,伪钦县县知事,1939-1940,日军占领钦州后出任伪钦县县知事，为日军筹粮筹款，推行伪化统治。
陈德光,伪钦县警察局长,1939-1940,在日军扶植下组建伪警察队伍，配合日军搜捕抗日人员，镇压民众反抗。
李耀林,伪合浦县维持会副会长,1939-1941,在合浦、浦北一带协助日军建立维持会组织，为日军征集物资、情报。
王启明,伪合浦县知事,1940-1941,日军侵占合浦期间任伪县知事，推行保甲制度，配合日军清乡。
刘志强,伪军钦廉地区司令,1940-1943,收编地方土匪组建伪军，在钦州、合浦、浦北交界地区配合日军扫荡抗日游击队。
苏廷有,伪广东南路维持会委员,1939-1941,参与组织南路伪维持会，在钦州、合浦等地为日军筹办粮秣、劳工。
冯焯勋,伪钦县保甲长,1939-1940,在钦州乡村推行保甲连坐，协助日军征丁征粮，举报抗日分子。
黄济夫,伪合浦县教育科长,1940-1941,在合浦、浦北地区推行奴化教育，篡改教材，宣传“大东亚共荣圈”。
陈文波,伪钦县商会会长,1939-1940,组织商人向日军献金献物，协助日军控制钦州物资流通。
林绳武,伪北海维持会会长,1939-1940,在北海、钦州沿海地区组织维持会，为日军登陆和补给提供便利。
吴国栋,伪军钦县大队长,1940-1942,率伪军在钦州、浦北边境配合日军扫荡，烧毁抗日村庄，杀害抗日群众。
