name,title,activity_period,notable_deeds
梁鸿志,伪中华民国维新政府行政院长,1938-1940,在南京成立伪维新政府，与日本合作，推行奴化政策，镇压抗日活动。
陈群,伪中华民国维新政府内政部长,1938-1940,主管伪政府内政，协助日本维持南京及江苏地区统治，参与清乡和特务活动。
任援道,伪中华民国维新政府绥靖军总司令,1938-1940,组织伪军，在江宁、南京周边协助日军扫荡抗日武装，残害百姓。
高冠吾,伪南京市市长,1938-1940,任伪南京市市长期间，推行日伪统治，强制市民登记，配合日军经济掠夺。
蔡培,伪江苏省省长（驻苏州，但管辖江宁地区）,1938-1940,在伪维新政府下任江苏省长，对江宁等县实施伪化统治，征收苛捐杂税。
汪精卫,伪国民政府主席兼行政院长,1940-1944,在南京建立汪伪政权，与日本签订卖国条约，组织伪军配合日军作战，在江苏、南京、江宁推行“和平运动”欺骗民众。
陈公博,伪国民政府代理主席、上海市长（曾兼江苏省主席）,1940-1945,汪伪政权核心人物，参与对江苏及南京地区抗日力量的镇压，推行清乡政策。
周佛海,伪国民政府行政院副院长兼财政部长、特务委员会主任,1940-1945,主管汪伪特务组织，在南京、江宁地区大肆搜捕抗日人士，控制金融为日军服务。
梅思平,伪国民政府实业部长、内政部长,1940-1945,参与汪日密约谈判，在江宁地区推行经济统制，掠夺物资。
林柏生,伪国民政府宣传部长,1940-1945,控制南京及江苏舆论，宣传“大东亚共荣”，为日本侵略辩护。
丁默邨,伪国民政府社会部长、特务委员会副主任,1940-1945,指挥汪伪特工（76号），在南京、江宁地区暗杀抗日志士，制造白色恐怖。
李士群,伪江苏省省长、特工总部主任,1941-1943,在江苏（含江宁）推行“清乡运动”，屠杀抗日军民，控制伪军警特务。
褚民谊,伪国民政府行政院副院长、外交部长,1940-1945,代表汪伪政权与日本签订多项卖国协定，在南京活动频繁。
陈璧君,伪中央政治委员会委员,1940-1945,汪精卫之妻，参与汪伪高层决策，在南京、江宁地区支持清乡。
叶蓬,伪陆军部长、武汉绥靖主任（曾驻南京）,1940-1945,训练伪军，在江苏及南京周边配合日军作战。
鲍文樾,伪军政部长,1940-1945,负责汪伪军队整编，在江宁地区设立军事据点。
萧叔萱,伪参谋本部总参谋长,1940-1945,参与策划伪军对抗日根据地的进攻，涉及江宁地区。
杨揆一,伪湖北省主席（曾代理军政部长，在南京任职）,1940-1945,在南京参与汪伪军事决策，协助日军控制长江下游。
唐蟒,伪监察院长,1940-1945,汪伪政权名义高官，在南京为伪政权撑门面。
江亢虎,伪考试院长,1940-1945,在南京推行奴化教育，为伪政权培养“人才”。
王揖唐,伪华北政务委员会委员长（曾与南京伪政权合作）,1940-1943,虽主政华北，但与南京伪政权勾结，影响江苏北部及南京地区。
齐燮元,伪华北绥靖军总司令（曾活动于江苏北部）,1940-1945,在江苏北部及南京周边协助日军清剿抗日力量。
张岚峰,伪第四方面军总司令（驻商丘，但曾进犯江苏）,1943-1945,率伪军参与对江苏、南京周边地区的扫荡。
孙良诚,伪第二方面军总司令（驻开封，曾进犯苏北）,1942-1945,率伪军配合日军在江苏北部及南京外围作战。
吴化文,伪第三方面军总司令（驻蚌埠，曾进犯安徽江苏交界）,1943-1945,率伪军多次侵扰江苏、南京周边地区。
庞炳勋,伪第五方面军总司令（驻开封，曾进犯苏北）,1943-1945,率伪军参与对江苏地区的“扫荡”。
孙殿英,伪新编第五军军长（驻豫北，曾进犯苏北）,1943-1945,率部配合日军在江苏北部及南京外围活动。
郝鹏举,伪淮海省省长（驻徐州，管辖苏北部分地区）,1944-1945,在苏北推行伪化统治，配合日军进攻抗日根据地。
缪斌,伪立法院副院长、新民会中央部长,1940-1945,在南京及江苏推行“新民运动”，为日本侵略张目。
陈中孚,伪江苏省政府委员兼民政厅长,1940-1943,在江苏（含江宁）推行保甲制度，强化日伪统治。
李圣五,伪教育部长,1940-1945,在南京及江苏推行奴化教育，篡改历史。
樊仲云,伪中央大学校长（南京）,1940-1945,在南京伪中央大学推行亲日教育，毒害青年。
周作人,伪华北教育总署督办（曾访问南京）,1940-1943,虽主华北教育，但为汪伪政权站台，影响南京文化界。
管翼贤,伪《中华日报》社长（南京）,1940-1945,控制南京舆论，宣传“和平反共”。
胡兰成,伪《国民新闻》主笔（南京）,1940-1945,撰写亲日文章，为汪伪政权辩护。
金雄白,伪《平报》社长（南京）,1940-1945,利用报纸为日伪张目，攻击抗日力量。
朱朴,伪江苏省宣传处长,1940-1943,在江苏各地（含江宁）组织宣传活动，美化日本侵略。
沈尔乔,伪江苏省警务处长,1940-1943,指挥伪警察在江宁等地镇压抗日民众。
张北生,伪江苏省清乡事务局长,1941-1943,具体执行清乡计划，在江宁等县设立封锁线，屠杀抗日人员。
袁殊,伪江苏省教育厅长（后任伪中央情报局要职）,1941-1945,在江苏推行奴化教育，同时参与特工活动。
潘达,伪江宁县长,1940-1943,在江宁地区征收重税，强抓壮丁，配合日军“扫荡”。
王承典,伪江宁县长（继任）,1943-1945,继续推行日伪统治，镇压抗日活动。
周学昌,伪南京市警察厅长,1940-1945,指挥伪警察在南京及江宁地区搜捕抗日人士，破坏地下组织。
苏成德,伪首都警察厅厅长（南京）,1941-1943,在南京市区及江宁郊区实施特务统治，残害百姓。
李讴一,伪江宁区保安司令,1941-1945,组织伪保安队，配合日军清剿江宁抗日游击队。
张瑞京,伪江宁区自卫团总团长,1942-1945,带领自卫团为日军提供情报，捕杀抗日群众。
