name,title,activity_period,notable_deeds
李士群,汪伪特工总部（76号）主任、汪伪江苏省政府主席,1938-1943,投靠日本，组建76号特工组织，在江苏、上海等地大肆捕杀抗日志士，后任汪伪江苏省长，推行清乡政策，祸害如皋等苏中地区。
汪精卫,汪伪国民政府主席兼行政院长,1940-1944,叛国投敌，在南京建立伪政权，其统治范围包括江苏、南通、如皋地区，是最大的汉奸头目。
陈公博,汪伪国民政府代理主席、上海市长,1940-1945,汪伪政权核心人物，参与对江苏地区的殖民统治，支持清乡运动。
周佛海,汪伪行政院副院长、财政部长、上海市长,1940-1945,汪伪政权主要决策者，控制江苏经济，协助日军掠夺资源。
褚民谊,汪伪外交部长、广东省长（曾任伪江苏省长）,1940-1945,曾任汪伪江苏省长，在江苏南通、如皋等地推行伪化统治。
任援道,汪伪第一方面军总司令、伪江苏省保安司令,1940-1945,率伪军驻防江苏，参与清剿新四军，在如皋、南通一带多次扫荡。
叶蓬,汪伪陆军部长、伪湖北省长（曾任伪苏北行营主任）,1941-1945,曾任伪苏北行营主任，管辖南通、如皋等苏北地区，配合日军清乡。
张北生,汪伪如皋县知事/县长,1940-1943,在如皋县任伪职，强征捐税，抓捕抗日群众，协助日军建立伪政权。
陈群,汪伪内政部长、伪江苏省长（1938-1940）,1938-1940,抗战初期投敌，任伪维新政府内政部长，后任伪江苏省长，管辖南通、如皋地区，推行奴化教育。
梁鸿志,伪中华民国维新政府行政院长,1938-1940,在南京建立伪维新政府，统治江苏包括南通、如皋，为日军服务。
温宗尧,伪维新政府立法院长、汪伪国府委员,1938-1945,参与伪政权，在江苏地区协助日军维持殖民秩序。
高冠吾,汪伪江苏省长（1940-1941）,1940-1941,任伪江苏省长期间，在如皋、南通等地推行保甲制度，镇压抗日活动。
李圣五,汪伪教育部长、伪江苏省长（1941-1943）,1941-1943,任伪江苏省长，在如皋地区强制推行奴化教育，破坏抗日组织。
项致庄,汪伪江苏省长（1943-1944）,1943-1944,在江苏如皋等地加强清乡，配合日军“扫荡”新四军。
郝鹏举,汪伪淮海省省长（后投蒋反共）,1944-1945,曾在苏北活动，其部队在如皋、南通一带骚扰百姓，后投靠国民党。
孙良诚,汪伪第二方面军总司令,1942-1945,率伪军驻防苏北，多次进攻如皋、南通抗日根据地，烧杀抢掠。
张岚峰,汪伪第四方面军总司令（曾在苏北活动）,1943-1945,其部队在苏北如皋等地参与清乡，协助日军围剿抗日武装。
潘干臣,伪如皋县保安大队长,1940-1945,在如皋地区组织伪保安队，抓捕抗日军民，为日军提供情报。
吴漱泉,伪南通县知事/县长,1940-1943,在南通地区推行伪化统治，强征粮食，镇压抗日群众。
薛逢元,伪南通县保安团长,1941-1945,率伪军在南通、如皋交界处扫荡，杀害抗日干部。
杨仲华,伪苏北清乡公署主任,1941-1944,负责苏北清乡，在如皋、南通设立封锁线，残害百姓。
季刚,伪如皋县警察局长,1942-1945,指挥伪警察在如皋城内搜捕抗日分子，协助日军进行大逮捕。
顾锡九,伪南通区清乡专员,1943-1945,在南通、如皋地区推行清乡，组织伪自卫团，破坏抗日根据地。
