name,title,activity_period,notable_deeds
陈群,汪伪政府内政部长、江苏省长,1938-1945,曾任伪维新政府内政部长，后任汪伪江苏省长，在无锡、宜兴等地推行清乡政策，镇压抗日力量。
李士群,汪伪特工总部（76号）负责人、伪江苏省长,1939-1943,在无锡、宜兴等地布置特工网络，捕杀抗日人士，参与清乡运动，后因内部斗争被毒杀。
高冠吾,伪无锡县知事、伪江苏省政府委员,1938-1945,任伪无锡县知事期间，协助日军征粮、拉夫，推行保甲制度，镇压当地抗日游击队。
张北生,伪无锡县警察局长,1940-1945,指挥伪警察配合日军扫荡，逮捕抗日地下工作者，参与“清乡”行动。
杨仲华,伪宜兴县知事,1939-1943,在宜兴地区强征民夫修筑碉堡，搜刮粮食供给日军，破坏抗日组织。
周佛海,汪伪行政院副院长、伪财政部长（兼管江苏事务）,1940-1945,虽非直接驻无锡宜兴，但作为汪伪高层，其政策直接影响该地区，支持清乡和物资统制。
丁默邨,汪伪社会部长、伪浙江省长（曾负责江苏特工）,1939-1945,在无锡、宜兴等地部署特工活动，参与镇压抗日力量，后因汉奸罪被处决。
任援道,伪第一方面军总司令、伪江苏省长,1938-1945,其伪军部队在无锡、宜兴一带驻防，协助日军“扫荡”，并参与清乡。
徐朴诚,伪无锡县商会会长,1938-1945,为日军和伪政府筹款、提供物资，协助经济掠夺，并告发抗日商人。
吴世昌,伪宜兴县维持会会长,1937-1939,日军占领宜兴初期，组织维持会，为日军带路、征粮，协助建立伪政权。
蒋纪周,伪无锡县保安大队长,1941-1945,率伪保安队多次袭击抗日游击队，杀害群众，烧毁村庄。
储南强,伪宜兴县教育会长,1940-1945,推行奴化教育，强迫学生参加日军庆祝活动，检举抗日师生。
