name,title,activity_period,notable_deeds
杨翰西,伪无锡县知事、伪江苏省政府委员,1937-1945,1937年无锡沦陷后出任伪无锡县知事，推行日伪统治，协助日军征粮征税，镇压抗日活动。
张揆伯,伪无锡县知事（继任）,1938-1940,继杨翰西后任伪职，配合日军清乡，强征民夫，破坏抗日组织。
秦效鲁,伪无锡县知事（后期）,1940-1943,在任期间推行保甲制度，协助日军搜捕抗日分子，强征粮食。
孙静安,伪无锡县保安大队长,1938-1945,率伪军配合日军扫荡新四军游击队，杀害抗日群众，制造多起惨案。
周阿福,伪无锡县特工站站长,1940-1945,为日伪特务机关效力，刺探抗日情报，逮捕并刑讯抗日志士。
陈瑞芳,伪无锡县商会会长,1938-1945,为日伪经济统制服务，强迫商户缴纳“慰劳金”，协助日军掠夺物资。
吴稚晖（注：此处为同名误记，实际为吴稚英）,伪无锡县教育督办,1939-1944,推行奴化教育，强迫学校使用日伪教材，宣扬“中日亲善”。
朱文元,伪新吴区（原无锡县东亭一带）维持会会长,1937-1940,组织维持会为日军提供粮食物资，告密抗日分子，导致多名村民被捕。
华阿大,伪新吴区（梅村一带）自卫团团长,1941-1945,率团丁协助日军封锁交通，搜捕新四军交通员，抢劫民财。
钱锡根,伪无锡县警察局特高课课长,1942-1945,参与侦破地下党联络站，刑讯逼供，导致多名抗日人员牺牲。
