name,title,activity_period,notable_deeds
缪斌,汪伪国民政府考试院副院长、无锡县伪县长,1937-1945,无锡人，早年投靠国民党，后叛变投敌，任伪无锡县知事，推行奴化教育，协助日军征粮征税，镇压抗日活动。
杨翰西,伪无锡县知事、伪江苏省政府委员,1938-1945,无锡士绅，日军占领无锡后出任伪职，组织维持会，为日军提供情报，强征民夫，参与经济掠夺。
张揆伯,伪无锡县警察局长,1938-1945,在锡山地区协助日军维持治安，搜捕抗日志士，残害百姓，参与“清乡”行动。
陈祖诒,伪无锡县教育科长,1939-1945,推行日伪奴化教育，篡改教科书，强迫学生学日语，破坏抗日宣传。
周佛海,汪伪中央执行委员（曾在无锡活动）,1940-1945,虽非无锡籍，但多次到无锡视察，指导伪政权强化统治，参与“清乡”和物资统制。
丁默邨,汪伪特工总部主任（曾在锡山活动）,1939-1945,在无锡、锡山一带布置特务网络，暗杀抗日人士，破坏地下组织。
李士群,汪伪特工总部副主任（曾在无锡活动）,1939-1943,在无锡设立特工据点，逮捕进步青年，制造多起血案。
吴稚晖,伪无锡县维持会会长（早期）,1937-1938,无锡沦陷初期出任维持会长，为日军筹粮，协助建立伪政权。
孙宝琦,伪无锡县商会会长,1938-1945,勾结日军，控制无锡工商业，为日军收购战略物资，从中牟利。
钱孙卿,伪无锡县参议会议长,1940-1945,在锡山地区组织伪参议会，为日伪政策背书，协助征粮派款。
