name,title,activity_period,notable_deeds
李长江,伪军第一集团军总司令、伪苏北绥靖公署主任,1939-1945,原国民党鲁苏皖边区游击副总指挥，1941年投敌，在泰州组建伪军，配合日军扫荡泰兴、黄桥等地，残害抗日军民。
张松山,伪泰兴县知事/县长,1940-1943,任伪泰兴县知事期间，推行日伪保甲制度，强征捐税，协助日军清乡，捕杀抗日志士。
何克谦,伪泰兴县保安大队长,1941-1945,率伪保安队多次袭击新四军游击队，在泰兴沿江地区设卡盘查，杀害地下交通员。
陈才福,伪泰州绥靖区独立团团长,1942-1945,驻防泰兴口岸、刁铺一带，参与日军“扫荡”，抢劫民财，强拉壮丁补充伪军。
王效曾,伪泰兴县警察局长,1941-1944,效忠日寇，指挥伪警搜捕新四军情报人员，破坏地下组织，在黄桥、曲霞等地制造多起血案。
刘湘图,伪苏中行署泰兴办事处主任,1943-1945,协助日军推行“治安强化”运动，组织伪自卫团，强征粮食供应日军，镇压群众反抗。
周佛海,伪国民政府财政部部长兼伪中央储备银行总裁（曾管辖苏中伪政权）,1940-1945,虽非泰兴本地人，但作为汪伪政权核心，其伪币政策与清乡指令直接祸及泰兴地区，支持伪军驻防泰州、泰兴。
丁聚堂,伪泰兴县黄桥区区长,1941-1945,在黄桥地区组织伪区公所，配合日军建立据点，多次带队突袭新四军后方，杀害抗日家属。
叶步青,伪泰兴县古溪区自卫团长,1942-1945,率伪自卫团在古溪、分界一带活动，为日军提供情报，参与“清剿”行动，烧毁村庄。
朱鼎坤,伪泰州绥靖公署参谋处长,1941-1945,参与策划对泰兴、靖江边境的扫荡，协助李长江整编伪军，向日军输送壮丁。
