name,title,activity_period,notable_deeds
王德林,伪扬中县维持会会长,1937-1938,日军占领扬中后，率先投敌，组织维持会，为日军征粮派款，协助维持殖民秩序。
朱永康,伪扬中县知事,1938-1940,任伪县知事期间，推行保甲制度，强征壮丁，配合日军清乡扫荡，残害抗日军民。
陈文彬,伪扬中县警察局长,1939-1943,指挥伪警察协助日军搜捕抗日地下人员，多次带队袭击新四军游击队，杀害多名抗日群众。
周士林,伪扬中县保安大队长,1940-1944,组建伪保安队，配合日军“扫荡”，在扬中沿江地区设卡盘查，截获抗日物资，逮捕进步人士。
孙兆铭,伪镇江地区清乡专员公署专员,1941-1943,在镇江、扬中一带推行“清乡”政策，建立伪基层政权，强征捐税，参与围剿新四军游击队。
张德胜,伪扬中县税务局长,1940-1945,为日军征收苛捐杂税，垄断粮食贸易，克扣民财，资助伪军军费，民愤极大。
刘汉卿,伪扬中县教育科长,1942-1945,推行奴化教育，强制学校使用日伪教材，宣扬“中日亲善”，破坏抗日宣传。
徐志远,伪镇江绥靖公署谍报队长,1942-1944,在镇江、扬中地区发展特务网络，刺探新四军情报，多次导致抗日交通站被破坏。
吴国桢,伪扬中县商会会长,1938-1945,组织商会为日军筹集军饷，强迫商户捐献，并暗中向日军出售粮食、棉花等战略物资。
赵子龙,伪扬中县自卫团团长,1943-1945,率自卫团协助日军封锁长江渡口，参与抓捕抗日干部，并参与屠杀无辜村民事件。
