name,title,activity_period,notable_deeds
李德旺,伪鄱阳县维持会会长,1938-1941,日军侵占鄱阳期间出面组织伪维持会，为日军征粮派款、维持地方秩序，协助日军控制鄱阳城乡。
王济民,伪鄱阳县政府县长,1941-1945,在日军扶植下出任伪鄱阳县政府县长，推行伪政令，配合日军清乡、征粮、拉夫，镇压抗日活动。
张慕良,伪上饶县维持会会长,1942-1945,浙赣会战期间上饶沦陷后，出面组织伪维持会，为日军筹粮、派夫、搜集情报，协助日军维持占领区统治。
刘子清,伪上饶县政府县长,1942-1945,日军占领上饶期间任伪县长，建立伪政权机构，推行保甲连坐，配合日军对抗日根据地进行封锁和扫荡。
陈明远,伪江西省维持会副会长,1939-1945,在南昌等地参与组织伪江西省维持会，协助日军在江西占领区推行伪化统治，为日军提供情报和物资。
吴友三,伪南昌县维持会会长,1939-1945,南昌沦陷后组织伪维持会，为日军征粮、派款、拉夫，协助日军维持南昌及周边地区治安。
熊子明,伪江西省政府委员,1940-1945,在日军扶植下参与伪江西省政府事务，推行伪政令，协助日军在江西占领区进行经济掠夺和思想控制。
黄道南,伪鄱阳县警察局局长,1941-1945,任伪鄱阳县警察局局长期间，带领伪警察配合日军搜捕抗日人员，镇压群众抗日活动，维护日伪统治秩序。
徐保国,伪鄱阳县保安大队大队长,1941-1945,统领伪保安大队，配合日军对鄱阳周边抗日游击区进行扫荡，抓捕抗日军民，为日军征粮派款。
何文彬,伪上饶县警察局局长,1942-1945,任伪上饶县警察局局长，协助日军维持占领区治安，搜捕抗日分子，推行保甲制度，镇压民众反抗。
周德辉,伪上饶县保安团团长,1942-1945,组织伪保安团配合日军作战，参与对赣东北抗日根据地的清乡扫荡，抓捕抗日人员，抢掠民财。
汪伪,伪鄱阳县教育科科长,1941-1945,在鄱阳推行奴化教育，篡改教材，向学生灌输亲日思想，协助日军进行文化侵略。
