name,title,activity_period,notable_deeds
傅筱庵,伪上海特别市市长,1938-1940,浙江镇海人，早年在江西九江、庐山一带经营实业并参与地方事务，后投靠日军，出任伪上海特别市市长，为日军筹措物资、镇压抗日活动，1940年被军统刺杀。
陈群,伪南京国民政府内政部部长、伪江苏省省长,1938-1945,福建人，早年曾在江西九江、庐山活动，抗战期间投靠汪伪政权，历任伪内政部部长、伪江苏省省长等职，协助日军推行治安强化运动。
李讴一,伪九江维持会会长、伪九江县长,1938-1945,九江本地士绅，1938年日军侵占九江后出面组织伪维持会，后任伪九江县长，为日军征粮征夫、维持地方伪秩序。
王梦古,伪九江商会会长,1938-1945,九江商人，抗战期间依附日军，出任伪九江商会会长，为日军筹款筹物，协助控制九江经济。
张资平,伪江西省政府委员、伪文化机构负责人,1939-1945,广东梅县人，作家，抗战期间投靠汪伪政权，曾任伪江西省政府委员，在江西等地进行亲日文化宣传。
萧淑宇,伪江西省政府主席,1940-1945,江西人，汪伪政权任命其为伪江西省政府主席，在南昌、九江等地组织伪政权，配合日军统治江西沦陷区。
邓祖禹,伪九江警察局局长,1938-1945,九江人，日军占领九江后出任伪警察局局长，协助日军搜捕抗日人士、维持伪治安。
刘达夫,伪庐山管理局局长,1939-1945,抗战期间庐山沦陷后，出任伪庐山管理局局长，为日军管理庐山景区及周边地区，协助征发民夫。
黄自强,伪九江保安团团长,1938-1945,九江地方武装头目，投靠日军后任伪九江保安团团长，配合日军扫荡九江周边抗日游击队。
陈则民,伪江西省政府委员、伪南昌市长,1939-1945,江西人，汪伪政权时期任伪江西省政府委员、伪南昌市长，其活动范围覆盖九江、庐山一带，协助日军推行伪化教育。
