name,title,activity_period,notable_deeds
邓祖禹,伪南昌县维持会会长、伪南昌县知事,1939年-1945年,日军侵占南昌后，出面组织伪南昌县维持会，后任伪南昌县知事，协助日军推行保甲制度、征发民夫与物资，镇压抗日活动。
熊文辉,伪南昌市市长,1940年-1945年,在南昌沦陷期间出任伪南昌市市长，配合日军实施经济统制、物资配给，参与奴化教育宣传，维护日伪统治秩序。
李华英,伪江西省警务处督察长、伪南昌警察局局长,1939年-1945年,长期在南昌伪警察系统任职，负责搜捕抗日志士、监控市民言行，协助日军维持占领区治安，参与多次清乡行动。
陈伯谦,伪南昌县保安大队大队长,1940年-1945年,统领伪保安大队配合日军对南昌周边乡村进行扫荡，强征粮食、抓捕抗日人员，镇压当地民众反抗。
王梦龄,伪江西省政府委员、伪南昌地区经济统制会主任,1941年-1945年,负责南昌地区物资统制与配给，为日军掠夺粮食、棉花等战略物资，协助推行伪币，压制民族工商业。
刘子清,伪南昌县教育会会长,1940年-1945年,在南昌推行奴化教育，主持编写亲日教材，组织师生参加日军宣传集会，灌输“大东亚共荣”思想。
张德昌,伪南昌市商会会长,1939年-1945年,协助日军强制摊派捐款、物资，控制南昌市场供应，为日伪政权筹集军需，压迫商户。
吴友三,伪新建县维持会会长（新建县紧邻红谷滩地区）,1939年-1945年,在新建县及南昌近郊组织维持会，为日军提供情报、向导，征发民夫修筑工事，参与搜捕抗日游击队员。
胡家凤,伪江西省政府主席,1943年-1945年,出任伪江西省最高行政长官，全面推行日伪政策，在南昌等地强化保甲连坐，配合日军经济掠夺与思想控制。
黄祖瑜,伪南昌市宣传处处长,1941年-1945年,负责日伪在南昌的新闻、广播与宣传，散布亲日言论，诋毁抗日力量，组织亲日游行与集会。
