name,title,activity_period,notable_deeds
萧淑宇,伪江西省政府委员兼伪南昌市市长,1938-1945,抗战期间投靠日伪，在江西日占区参与伪政权，曾任伪江西省政府委员、伪南昌市市长等职，协助日军推行殖民统治。
邓祖禹,伪江西省政府委员、伪民政厅厅长,1938-1945,抗战时期附逆，在江西伪政权中任职，参与日伪对江西沦陷区的行政控制与治安维持。
周贯虹,伪江西省政府委员、伪财政厅厅长,1938-1945,投靠日伪，在江西伪政权中负责财政事务，为日军搜刮沦陷区资源、维持伪政权运转效力。
李正谊,伪江西省政府委员、伪建设厅厅长,1938-1945,抗战期间在江西伪政权任职，参与日伪在江西的经济掠夺与建设控制。
熊正诗,伪江西省政府委员、伪教育厅厅长,1938-1945,附逆日伪，在江西伪政权中负责教育，推行奴化教育，毒害沦陷区民众。
刘存厚,伪吉安维持会会长,1939-1945,在吉安地区日军占领期间组织维持会，为日军筹粮筹款、维持地方秩序，协助日伪统治。
王德舆,伪吉安县知事,1939-1945,抗战时期在吉安沦陷区出任伪职，协助日军管理地方，镇压抗日活动。
陈宗莹,伪永丰县维持会会长,1940-1945,在永丰地区组织维持会，为日军提供情报、粮秣，协助日伪控制永丰一带。
刘家树,伪永丰县保安队队长,1940-1945,率伪保安队配合日军扫荡永丰及周边地区，搜捕抗日人员，残害百姓。
张慕良,伪吉安地区伪军头目,1939-1945,在吉安地区收编土匪、地痞组成伪军，配合日军进攻抗日根据地，抢掠民财。
黄光斗,伪永丰县警察局局长,1940-1945,在永丰沦陷区担任伪警察局长，协助日军维持治安，逮捕抗日志士，迫害民众。
刘建绪,伪吉安地区保甲长,1939-1945,在吉安地区担任伪保甲长，为日军征发民夫、催缴粮款，协助日伪基层统治。
李国栋,伪永丰县教育科科长,1940-1945,在永丰推行奴化教育，编写亲日教材，强迫学生学日语，为日伪培养顺民。
王振寰,伪吉安商会会长,1939-1945,在吉安沦陷区组织伪商会，为日军筹款筹物，协助经济掠夺，压制商户抗日。
陈明远,伪永丰县合作社理事长,1940-1945,利用伪合作社为日军收购粮食、物资，剥削农民，支持日伪经济统制。
