name,title,activity_period,notable_deeds
熊式辉,江西省政府主席（后附逆投靠汪伪政权）,1931-1945,原国民党江西省主席，抗战后期与日伪方面有联系，其部分旧部在江西沦陷区参与维持会活动，对宜春、上高一带的伪政权建立有间接影响。
李正谊,伪江西省维持会会长,1939-1945,在南昌及周边地区组织伪维持会，协助日军推行保甲制度，其势力范围延伸至宜春、上高一带，为日军征粮、征夫。
陈孚木,伪江西省政府委员兼伪警务处长,1940-1945,在江西沦陷区建立伪警察体系，配合日军清乡，宜春、上高地区伪警察所多受其节制。
王梦古,伪宜春县维持会会长,1941-1945,在宜春县城组织维持会，为日军筹集物资，协助建立伪区、乡政权，上高邻近地区亦受其影响。
刘子清,伪上高县维持会会长,1941-1945,上高沦陷期间出面组织维持会，替日军征发民夫、粮食，并参与伪保甲长任命。
黄光斗,伪宜春县保安大队大队长,1942-1945,率伪保安队配合日军扫荡宜春、上高交界地区，搜捕抗日人员，镇压民众。
张铁夫,伪上高县警察所所长,1942-1945,在上高县城及周边乡镇建立伪警察网络，为日军提供情报，迫害抗日家属。
吴友三,伪宜春县教育科科长,1942-1945,在宜春推行奴化教育，强制学校使用日伪教材，宣传“大东亚共荣圈”，影响上高部分学校。
赵子明,伪上高县合作社理事长,1943-1945,控制上高物资流通，为日军低价收购粮食、桐油等战略物资，盘剥当地百姓。
孙国栋,伪宜春县万载区维持会会长（活动覆盖宜春、上高边界）,1941-1945,在宜春与上高交界地区组织维持会，协助日军修筑据点，征发民夫。
