name,title,activity_period,notable_deeds
王仲山,景德镇维持会会长,1938年-1945年,日军侵占景德镇后出面组织维持会，协助日军征粮、派夫、维持治安，镇压抗日活动。
李儒修,浮梁县伪县长,1940年-1945年,任伪浮梁县县长期间，配合日军推行保甲制度，强征粮食和劳工，搜捕抗日人员。
张慕良,景德镇伪警察局局长,1939年-1945年,掌管伪警察局，协助日军清查户口、逮捕抗日嫌疑分子，勒索商户。
陈学明,浮梁县维持会副会长,1938年-1942年,协助会长王仲山办理伪维持会事务，为日军筹集物资，诱降地方士绅。
刘子清,景德镇伪商会会长,1940年-1945年,控制景德镇陶瓷贸易，为日军采购军需物资，压榨瓷业工人。
吴德昌,浮梁县伪保安大队大队长,1941年-1945年,率领伪保安大队配合日军扫荡周边抗日根据地，烧杀抢掠。
徐宝善,景德镇伪教育会会长,1940年-1945年,推行奴化教育，强制学校使用日伪教材，宣传“大东亚共荣圈”。
胡兆祥,浮梁县伪维持会保甲长,1939年-1945年,在浮梁县农村担任保甲长，为日军征粮派款，监视村民行动，举报抗日分子。
黄飞虎,鄱阳湖伪军头目,1940年-1945年,在鄱阳湖及景德镇周边水域活动，劫掠民船，为日军运送物资，袭击抗日游击队。
周文山,乐平伪维持会会长,1938年-1945年,在乐平县组织维持会，协助日军控制乐平至景德镇交通线，镇压抗日民众。
