name,title,activity_period,notable_deeds
王揖唐,汪伪政府考试院院长、伪安徽省长,1937-1945,江西籍汉奸，安徽合肥人，祖籍江西。抗战期间投靠汪精卫，历任伪临时政府内政部长、汪伪政府考试院院长、伪安徽省长等职，推行奴化教育，配合日军清乡。
黄自强,伪江西省保安司令部副司令、伪江西省政府委员,1940-1945,江西籍汉奸，抗战期间在江西沦陷区组织伪军，配合日军对赣北、赣中地区进行扫荡，镇压抗日力量。
李讴一,伪江西省政府主席、伪江西省保安司令,1943-1945,广东人，但长期在江西活动。1943年任汪伪江西省长，在南昌、九江等地建立伪政权，推行保甲连坐，协助日军掠夺物资。
邓祖禹,伪江西省警务处处长,1940-1945,在南昌等地组建伪警察队伍，配合日军搜捕抗日志士，镇压民众反抗。
熊式辉,未任伪职，但抗战后期与日方有秘密接触,1944-1945,江西籍国民党官员，抗战后期在赣州地区与日军进行过试探性接触，但未正式投敌，历史评价存在争议。
刘达,伪赣州维持会会长,1944-1945,赣州沦陷期间组织维持会，为日军筹粮筹款，协助建立伪基层政权。
陈明,伪宁都县维持会会长,1945,1945年日军窜扰宁都时，出面组织维持会，张贴安民告示，为日军带路、征夫。
张华,伪赣县保甲长,1944-1945,在赣县沦陷区担任保甲长，执行日军指令，登记户口、征发劳役，监视抗日家属。
王德舆,伪南昌商会会长,1939-1945,在南昌为日军筹办军需，组织商户“献金”，协助日军控制粮食市场。
周贯虹,伪九江维持会会长,1938-1945,九江沦陷后组织维持会，为日军提供情报，协助建立伪政权。
