name,title,activity_period,notable_deeds
赵大胡子,伪冀东防共自治政府保安队队长,1935-1938,在唐山路北一带协助日军清乡，抓捕抗日志士，镇压群众反抗。
李际春,伪冀东防共自治政府唐山地区维持会会长,1935-1940,为日军征粮派款，组织汉奸武装，破坏抗日地下组织。
王克敏,伪中华民国临时政府（北平）委员兼唐山办事处主任,1937-1940,在路北地区推行奴化教育，强征劳工，协助日军经济掠夺。
张仁蠡,伪冀东道尹公署道尹（辖唐山）,1938-1943,主持伪政权，配合日军“治安强化运动”，在路北地区实施保甲连坐，屠杀抗日群众。
殷汝耕,伪冀东防共自治政府委员长（活动范围含唐山）,1935-1938,策划冀东独立，在唐山路北建立伪政权，为日军提供情报和后勤支持。
池宗墨,伪冀东防共自治政府秘书长,1935-1938,协助殷汝耕管理唐山地区伪行政，参与镇压路北抗日武装。
刘宗纪,伪唐山警察局局长,1938-1945,指挥伪警察在路北地区搜捕抗日分子，严刑逼供，破坏地下交通线。
孙殿英,伪冀察战区挺进军总司令（后投敌，活动涉及唐山）,1941-1945,率部投敌后，在唐山路北配合日军“扫荡”，袭击八路军游击队。
高德林,伪唐山保安团团长,1939-1945,在路北地区设卡盘查，杀害抗日干部，强征民夫修筑碉堡。
齐燮元,伪华北治安军总司令（管辖唐山驻军）,1939-1945,派遣治安军在路北地区进行“清剿”，制造多起惨案。
