name,title,activity_period,notable_deeds
李守信,伪蒙古军总司令、伪张家口特别市市长,1933-1945,原为热河地方军阀，1933年投靠日军，任伪蒙古军总司令，后任伪张家口特别市市长，协助日军在张家口地区推行殖民统治，镇压抗日力量。
德穆楚克栋鲁普（德王）,伪蒙疆联合自治政府主席,1936-1945,蒙古族王公，在日本扶植下成立伪蒙疆政权，总部设于张家口，积极与日军合作，推行奴化教育，为日军提供兵源和物资。
吴鹤龄,伪蒙疆联合自治政府副主席,1937-1945,协助德王管理伪蒙疆政权，在张家口地区参与日伪行政事务，配合日军清乡和掠夺资源。
于品卿,伪张家口市公署市长,1939-1945,原为张家口商会会长，投日后任伪市长，为日军征收粮饷，强征劳工，镇压抗日活动。
韩凤楼,伪张家口警察局局长,1938-1945,负责张家口地区日伪治安，抓捕抗日地下工作者，协助日军进行大搜捕和屠杀。
张万庆,伪张家口保安队队长,1940-1945,率保安队配合日军扫荡张家口周边村庄，烧杀抢掠，杀害抗日军民。
王英,伪蒙疆自治军第一师师长,1937-1945,原为土匪头目，投日后在张家口一带活动，率伪军袭击抗日游击队，残害百姓。
李英,伪张家口经济统制委员会委员,1941-1945,协助日军实行经济统制，垄断张家口粮食、食盐等物资，导致民众饥荒。
赵承绶,伪晋北政厅厅长（管辖张家口部分地区）,1939-1945,原国民党军官，投日后任伪晋北政厅厅长，在张家口西部推行日伪法令，强征壮丁。
刘继广,伪张家口宣抚班班长,1938-1945,负责日伪宣传，散布“大东亚共荣”言论，瓦解抗日意志，诱骗青年参加伪军。
