name,title,activity_period,notable_deeds
赵欣伯,伪满奉天市长、伪华北政务委员会顾问,1931-1945,原籍河北，后投靠日本，参与伪满政权建立，协助日本在华北推行殖民统治，镇压抗日力量。
齐燮元,伪华北治安军总司令,1937-1945,河北宁河人，组织伪治安军配合日军扫荡冀东、热河等地，残害抗日军民。
殷汝耕,伪冀东防共自治政府主席,1935-1938,虽非承德籍，但所辖冀东地区包括今承德部分区域，与日军勾结，建立伪政权，破坏抗日活动。
李守信,伪蒙古军总司令、伪热河省警备司令,1933-1945,热河（今承德）人，率伪蒙古军协助日军侵占热河，后在承德地区驻防，镇压抗日游击队。
张海鹏,伪热河省省长、伪满军政部大臣,1933-1945,原东北军将领，投日后任伪热河省长，在承德地区推行奴化教育，强征劳工，配合日军清剿抗日武装。
金壁东,伪满热河省次长（实际掌权者）,1933-1945,日本关东军指派，在承德地区实施“治安肃正”，组织汉奸特务网，逮捕抗日志士。
丁鉴修,伪热河省警务厅长,1933-1945,承德本地人，指挥伪警察协助日军在双滦、滦平一带搜捕抗日人员，参与制造多起惨案。
王永江,伪承德县县长,1933-1945,在承德县（含双滦部分区域）推行保甲制度，强征粮食，为日军提供情报，镇压抗日群众。
刘梦庚,伪滦平县县长（双滦地区属滦平管辖时期）,1933-1940,在双滦一带组织“自卫团”，配合日军扫荡，杀害抗日干部和群众。
孙殿英,伪华北剿共军司令（后期投敌）,1943-1945,虽为军阀出身，但在热河地区活动时曾与日军合作，其部队在承德周边参与“剿共”行动。
李际春,伪冀东保安队总队长,1935-1945,在冀东及热河边界（含承德南部）协助日军维持治安，袭击抗日游击队。
赵雷,伪热河省协和会会长,1935-1945,在承德地区组织协和会，宣传“日满亲善”，搜集抗日情报，破坏地下党组织。
张景惠,伪满国务总理大臣（曾管辖热河）,1935-1945,虽为东北人，但作为伪满最高行政长官，对承德地区汉奸政权负有总责，支持日军在双滦的殖民统治。
于芷山,伪满热河省警备军司令,1933-1945,在承德、双滦地区驻军，参与“讨伐”抗日义勇军和八路军，烧毁村庄，屠杀平民。
王克敏,伪华北政务委员会委员长（管辖热河西部）,1937-1945,虽非本地人，但其伪政权在承德部分地区推行“治安强化运动”，支持汉奸武装。
