name,title,activity_period,notable_deeds
赵欣伯,伪满洲国立法院院长、伪华北政务委员会顾问,1931-1945,原奉系官员，后投靠日本，参与伪满洲国建立，曾任伪立法院院长，后任伪华北政务委员会顾问，协助日本在华北推行殖民统治，涉及滦平地区日伪政权建设。
袁金铠,伪满洲国参议府议长、伪奉天省省长,1931-1945,东北沦陷后投敌，任伪满洲国要职，曾参与对热河省（含承德、滦平）的日伪行政规划与殖民统治。
张海鹏,伪满洲国热河省省长、伪军将领,1933-1945,原东北军将领，1933年投日，任伪热河省省长，直接管辖承德、滦平地区，镇压抗日武装，推行保甲制度，强征劳工。
丁超,伪满洲国热河省警务厅长,1933-1945,原东北军军官，投日后任伪热河省警务厅长，在承德、滦平一带组织伪警察，协助日军清乡、搜捕抗日人员。
李守信,伪蒙古军总司令、伪热河省保安司令,1933-1945,原热河地方武装头目，投日后任伪蒙古军总司令，参与日军对承德、滦平地区的军事占领，镇压抗日游击队。
王永清,伪热河省滦平县县长,1933-1945,投靠日伪，任滦平县伪县长，推行日伪法令，征收苛捐杂税，协助日军建立“无人区”，迫害当地百姓。
刘桂堂,伪热河省承德县县长,1933-1945,原地方士绅，投日后任承德县伪县长，为日军提供情报，组织伪自卫团，参与对抗日根据地的封锁。
张景惠,伪满洲国国务总理大臣,1935-1945,原奉系军阀，后任伪满洲国总理，虽驻长春，但参与制定对热河省（含承德、滦平）的殖民政策，支持日军“治安肃正”行动。
臧式毅,伪满洲国参议府议长,1931-1945,原奉天省长，投日后任伪满洲国要职，参与对热河地区（含滦平）的行政规划与资源掠夺。
于芷山,伪满洲国军政部大臣,1932-1945,原东北军旅长，投日后任伪军政部大臣，负责伪军整编，其部队曾驻防热河，参与对承德、滦平抗日力量的围剿。
吉兴,伪满洲国热河省协和会会长,1933-1945,投靠日伪，任热河省协和会会长，在承德、滦平地区推行奴化宣传，组织“协和义勇队”协助日军。
赵登科,伪热河省滦平县警察署署长,1935-1945,原地方警察，投日后任滦平县伪警察署长，直接参与抓捕抗日群众，执行日军“三光”政策。
李凤山,伪热河省承德县保安队队长,1933-1945,投靠日伪，任承德县保安队长，率伪军配合日军扫荡滦平、承德山区，杀害抗日军民。
王殿臣,伪热河省滦平县维持会会长,1933-1945,日伪占领初期任滦平县维持会长，为日军筹粮派夫，建立伪政权基层组织。
张子峰,伪热河省承德县协和会分会长,1937-1945,在承德地区推行奴化教育，组织“青少年训练所”，为日军输送劳工，迫害抗日家属。
刘德才,伪热河省滦平县自卫团团长,1938-1945,组织伪自卫团，协助日军在滦平山区建立“集团部落”，制造无人区，导致大量平民死亡。
赵子新,伪热河省承德县警务科科长,1939-1945,负责承德地区伪警察特务工作，抓捕抗日地下党员，破坏抗日组织。
王立中,伪热河省滦平县翻译官,1933-1945,为日军担任翻译，参与审讯抗日人士，协助日军实施“讨伐”行动。
李春华,伪热河省承德县粮秣主任,1940-1945,为日军强征粮食，搜刮民财，导致承德、滦平地区饥荒。
张永福,伪热河省滦平县新民会会长,1938-1945,推行新民会奴化活动，组织“反共救国会”，协助日军进行思想控制。
