name,title,activity_period,notable_deeds
赵欣伯,伪满洲国立法院院长、伪华北政务委员会顾问,1931-1945,原为奉系军阀官员，后投靠日本，在伪满洲国及华北伪政权中任职，协助日本殖民统治，参与对河北、承德地区的资源掠夺和奴化政策。
张景惠,伪满洲国国务总理大臣,1932-1945,原东北军将领，九一八事变后投敌，任伪满最高行政长官，其管辖范围包括热河省（今承德、隆化一带），支持日军对当地抗日武装的镇压。
臧式毅,伪满洲国参议府议长、伪奉天省省长,1931-1945,原奉系要员，投日后在伪满任职，曾参与策划对热河地区的军事占领和殖民统治，协助日军清剿抗日力量。
于芷山,伪满洲国军政部大臣、伪热河省省长,1933-1945,原东北军旅长，投日后任伪热河省省长，直接管辖承德、隆化等地，推行保甲制度，强征劳工，配合日军扫荡抗日根据地。
张海鹏,伪满洲国侍从武官长、伪热河省警备司令,1931-1945,原洮辽镇守使，投日后在热河地区担任伪军头目，多次率伪军进攻隆化、承德一带的抗日游击队，屠杀抗日军民。
李守信,伪蒙古军总司令、伪热河省保安司令,1933-1945,原热河地方军阀，投靠日军后任伪蒙军首领，参与侵占承德、隆化，协助日军建立伪政权，镇压当地抗日活动。
丁超,伪满洲国参议、伪热河省民生厅长,1932-1945,原东北军将领，投日后在伪热河省任职，推行日伪奴化教育，强征粮食和民夫，为日军侵华战争服务。
邢士廉,伪满洲国治安部大臣、伪热河省警务厅长,1932-1945,原奉系军官，投日后负责热河地区伪警察体系，协助日军搜捕抗日分子，在隆化等地设立集中营和特务机构。
金名世,伪热河省教育厅长,1933-1945,在承德、隆化推行日本殖民教育，强制学校教授日语，篡改历史教材，奴化当地青少年。
王永江,伪隆化县县长,1933-1945,在隆化县任伪县长期间，积极执行日伪命令，强征土地和粮食，组织伪保安队配合日军围剿八路军游击队。
刘汉兴,伪承德县警察署署长,1937-1945,在承德地区充当日军鹰犬，抓捕抗日群众，刑讯逼供，破坏地下抗日组织，罪行累累。
张桐轩,伪热河省协和会会长,1935-1945,在承德、隆化组织协和会，宣传“日满亲善”，刺探抗日情报，协助日军进行经济掠夺。
