name,title,activity_period,notable_deeds
刘佩忱,伪沧县县长,1937-1945,投靠日军，任伪沧县县长，协助日军推行保甲制度，强征粮税，镇压抗日民众，参与抓捕抗日志士。
张荫梧,伪冀中剿共总司令（后投敌）,1938-1945,原国民党将领，后投靠日军，在沧县及周边组织伪军，配合日军扫荡抗日根据地，杀害抗日军民。
李景林,伪沧州道尹,1938-1943,任伪沧州道尹，管辖沧县等县，为日军征集物资、劳役，推行奴化教育，镇压抗日活动。
王揖唐,伪华北政务委员会委员长（涉及沧县）,1937-1945,作为华北伪政权头目，其势力覆盖沧县，支持伪县政权，协助日军进行经济掠夺和清乡。
齐燮元,伪华北治安军总司令（涉及沧县驻军）,1939-1945,指挥伪治安军在沧县地区驻防，配合日军进行“扫荡”，杀害抗日干部和群众。
高德林,伪沧县保安队队长,1940-1945,任伪沧县保安队队长，率伪军多次袭击抗日游击队，抓捕并杀害抗日家属，烧毁村庄。
赵保原,伪沧县警察局局长,1938-1945,任伪警察局长，协助日军特务机关，建立情报网，搜捕抗日地下党员，刑讯逼供。
孙良诚,伪第二方面军总司令（曾驻沧县）,1942-1945,率伪军驻扎沧县一带，参与日军“铁壁合围”，对抗日根据地实行烧光、杀光、抢光政策。
吴赞周,伪沧县维持会会长,1937-1939,日军占领沧县后率先组织维持会，为日军筹粮派款，提供民夫，协助建立伪政权。
刘荫武,伪沧县教育科长,1939-1945,推行奴化教育，强制学校教授日语，删除抗日内容，检举抗日师生。
