name,title,activity_period,notable_deeds
刘佩忱,伪沧州知事,1937-1945,日军占领沧州后出任伪知事，协助日伪推行保甲制度，强征民夫修筑工事，镇压抗日民众。
张荫梧,伪冀中剿共军司令（后投敌）,1938-1943,原国民党将领，后投靠日军，在沧州、渤海地区组织伪军配合日军扫荡，残害抗日军民。
李景林,伪渤海道尹,1939-1944,任伪渤海道尹期间，为日军征收粮秣，强抓壮丁，破坏抗日根据地。
王铁相,伪沧县保安队队长,1940-1945,率伪保安队多次袭击抗日武装，杀害抗日干部，烧毁村庄。
赵保原,伪渤海区联防司令,1941-1945,盘踞渤海沿岸，勾结日军封锁海上交通，劫掠渔民，捕杀八路军交通员。
高德林,伪津南道保安副司令,1938-1944,在沧州南部及渤海地区组织伪军，参与多次“清乡”行动，制造多起惨案。
张宗援,伪华北治安军独立旅旅长,1942-1945,驻防沧州及渤海湾，配合日军扫荡，强征民粮，杀害抗日家属。
刘桂堂,伪渤海警备队总队长,1940-1945,率警备队袭击渤海区抗日根据地，破坏地下党组织，抢劫群众财产。
杨玉昆,伪沧州宪兵队翻译兼密探,1939-1945,为日军宪兵队充当翻译和密探，指认抗日人员，导致数十名地下党员被捕牺牲。
孙殿英,伪冀东防共自治军司令（涉沧州渤海）,1937-1943,虽主要活动于冀东，但曾派部在沧州渤海地区协助日军清剿，掠夺资源。
李际春,伪渤海区维持会会长,1938-1942,组织维持会为日军筹粮筹款，提供情报，协助建立伪政权。
张化南,伪沧州警察局局长,1940-1945,指挥伪警察抓捕抗日群众，严刑逼供，破坏地下交通线。
王英,伪渤海骑兵师师长,1941-1945,率骑兵师在沧州沿海平原追击八路军游击队，杀害多名伤病员。
赵侗,伪华北绥靖军渤海支队司令,1942-1945,在渤海地区设卡盘查，截获抗日物资，参与对盐民和渔民的镇压。
刘锡九,伪沧县知事,1938-1941,推行日伪“治安强化”运动，组织汉奸团体，迫害进步人士。
张子良,伪渤海盐务缉私队长,1939-1945,协助日军控制渤海盐场，镇压盐工反抗，为日军提供盐税收入。
李香斋,伪沧州商会会长,1937-1945,为日军征购粮食棉花，强迫商户捐款，资助伪军装备。
王振声,伪渤海区宣抚班长,1940-1944,随日军下乡进行奴化宣传，诱骗青年参加伪军，破坏抗日宣传。
张海鹏,伪渤海道保安司令,1943-1945,指挥伪军多次进攻渤海抗日根据地，烧杀抢掠，制造无人区。
赵瑞,伪沧州特务机关长,1941-1945,建立特务网络，暗杀抗日干部，策反动摇分子，破坏地下组织。
