name,title,activity_period,notable_deeds
张英,晋县伪县长,1938-1945,任晋县伪县长期间，推行日伪政权法令，强征民夫，搜刮粮食，协助日军清乡扫荡，镇压抗日群众。
李凤鸣,晋县伪保安队大队长,1939-1945,率伪保安队配合日军多次袭击抗日根据地，抓捕抗日干部和群众，参与制造多起惨案。
赵子谦,晋县伪警察所长,1940-1945,负责伪警察所，搜捕抗日地下人员，破坏抗日组织，为日军提供情报，欺压百姓。
王老黑,晋县伪自卫团团长,1941-1945,组织伪自卫团，协助日军封锁交通，参与“治安强化运动”，残害抗日军属。
刘振海,晋县伪区公所区长,1942-1945,在日占区推行保甲制度，强征壮丁，勒索百姓，向日军报告抗日活动。
陈国栋,晋县伪商会会长,1939-1945,为日军筹集物资，控制粮食贸易，强迫商户捐款，从中牟利，资助伪政权。
马文焕,晋县伪新民会会长,1940-1945,宣传奴化思想，组织“新民会”活动，诱骗青年参加伪军，破坏抗日宣传。
孙殿英,冀中伪军暂编第五军军长（活动于晋州一带）,1943-1945,率伪军驻防冀中，配合日军“扫荡”晋县、束鹿等地，围剿抗日游击队，烧杀抢掠。
高德林,伪冀中保安队副司令（活动于石家庄周边）,1942-1945,指挥伪保安队参与对晋县、藁城等地的清剿，杀害抗日干部，强征民夫修炮楼。
张占元,晋县伪税务局长,1941-1945,为日伪征收苛捐杂税，盘剥农民，逼交“治安费”，导致多户农民破产。
